data,method,sigma,noise,criteria,Accuracy,Consistency
Author,Birch,0.0,Laplace,ARI,0.9935561681588646,1.0
Author,Birch,0.0,Laplace,Fowlkes Mallows,0.995563135079679,1.0
Author,Birch,0.0,Laplace,MI,0.9888932595396807,1.0
Author,Birch,0.0,Laplace,V Measure,0.9889419918056891,1.0
Author,Birch,0.0,Normal,ARI,0.9935561681588646,1.0
Author,Birch,0.0,Normal,Fowlkes Mallows,0.995563135079679,1.0
Author,Birch,0.0,Normal,MI,0.9888932595396807,1.0
Author,Birch,0.0,Normal,V Measure,0.9889419918056891,1.0
Author,Birch,0.5,Laplace,ARI,0.8911436376297809,0.8253938280342686
Author,Birch,0.5,Laplace,Fowlkes Mallows,0.9251402485670536,0.8800077943498072
Author,Birch,0.5,Laplace,MI,0.8559582312450013,0.7844892222085315
Author,Birch,0.5,Laplace,V Measure,0.8565911843553625,0.7854370253921883
Author,Birch,0.5,Normal,ARI,0.9411991445567414,0.9066436107048635
Author,Birch,0.5,Normal,Fowlkes Mallows,0.9595402265823479,0.9357749458315299
Author,Birch,0.5,Normal,MI,0.9151997222319249,0.873092244072585
Author,Birch,0.5,Normal,V Measure,0.9155721914319054,0.8736499163612096
Author,Birch,1.0,Laplace,ARI,0.5432242861218747,0.3485390425207938
Author,Birch,1.0,Laplace,Fowlkes Mallows,0.6876550841608696,0.5568631346146995
Author,Birch,1.0,Laplace,MI,0.5114730032940836,0.33461981075860975
Author,Birch,1.0,Laplace,V Measure,0.5136333922199673,0.3375833163421326
Author,Birch,1.0,Normal,ARI,0.7646444827771205,0.6309806348203904
Author,Birch,1.0,Normal,Fowlkes Mallows,0.8383903205192179,0.7470606160617393
Author,Birch,1.0,Normal,MI,0.7228607221017279,0.5947076606648531
Author,Birch,1.0,Normal,V Measure,0.7240807976039367,0.5964966673804715
Author,Birch,2.0,Laplace,ARI,0.08123921769033636,0.01309816579171077
Author,Birch,2.0,Laplace,Fowlkes Mallows,0.3535671122550431,0.29098801694906873
Author,Birch,2.0,Laplace,MI,0.0843291226347437,0.014194267959161913
Author,Birch,2.0,Laplace,V Measure,0.08820311483398172,0.018228015000130555
Author,Birch,2.0,Normal,ARI,0.2566805956431044,0.09625485556819903
Author,Birch,2.0,Normal,Fowlkes Mallows,0.4871527722080519,0.3749511618712302
Author,Birch,2.0,Normal,MI,0.2499675922086345,0.09923573282781138
Author,Birch,2.0,Normal,V Measure,0.25324162042960713,0.10314864483428103
Author,Birch,3.0,Laplace,ARI,0.01295700088258544,0.0006529849138121706
Author,Birch,3.0,Laplace,Fowlkes Mallows,0.3073306955163109,0.28574608012875496
Author,Birch,3.0,Laplace,MI,0.01747866814831165,0.0007568488281139467
Author,Birch,3.0,Laplace,V Measure,0.021646436544649837,0.004866270451808467
Author,Birch,3.0,Normal,ARI,0.065278737195652,0.008581764394189395
Author,Birch,3.0,Normal,Fowlkes Mallows,0.3448183118829333,0.2928492915336595
Author,Birch,3.0,Normal,MI,0.07035111575329042,0.010056221995559497
Author,Birch,3.0,Normal,V Measure,0.07429538240840829,0.014129936264403594
Author,Birch,4.0,Laplace,ARI,0.00472663272037193,4.316746608711875e-05
Author,Birch,4.0,Laplace,Fowlkes Mallows,0.30099560220993443,0.28421934277949246
Author,Birch,4.0,Laplace,MI,0.006465251879952356,3.8870199164201914e-05
Author,Birch,4.0,Laplace,V Measure,0.010671824610410698,0.004137005038066576
Author,Birch,4.0,Normal,ARI,0.019600079890717936,0.0008867223700383321
Author,Birch,4.0,Normal,Fowlkes Mallows,0.3108989509871645,0.2837415235458761
Author,Birch,4.0,Normal,MI,0.023181050350004458,0.0011454299346764897
Author,Birch,4.0,Normal,V Measure,0.02731451024722912,0.005234645839183081
Author,Birch,5.0,Laplace,ARI,0.002562686208458003,2.4374322067724463e-05
Author,Birch,5.0,Laplace,Fowlkes Mallows,0.305640493137999,0.2962058604975828
Author,Birch,5.0,Laplace,MI,0.002771387592498547,6.059325315284692e-05
Author,Birch,5.0,Laplace,V Measure,0.007038536488998635,0.0042416022629047255
Author,Birch,5.0,Normal,ARI,0.009428577972841025,0.00010213605268048252
Author,Birch,5.0,Normal,Fowlkes Mallows,0.3042984418788485,0.28431028289181864
Author,Birch,5.0,Normal,MI,0.009809466613498671,0.0001928763856108347
Author,Birch,5.0,Normal,V Measure,0.014002276589585949,0.004291360888607167
Author,Gaussian MM,0.0,Laplace,ARI,0.7891906919730745,0.7854638786632608
Author,Gaussian MM,0.0,Laplace,Fowlkes Mallows,0.85258312034619,0.8476389443765086
Author,Gaussian MM,0.0,Laplace,MI,0.8047142498128871,0.8103349930852815
Author,Gaussian MM,0.0,Laplace,V Measure,0.8055420461933732,0.8111238880435341
Author,Gaussian MM,0.0,Normal,ARI,0.7872749809623407,0.7729394838043123
Author,Gaussian MM,0.0,Normal,Fowlkes Mallows,0.8517007814103068,0.8396454477958731
Author,Gaussian MM,0.0,Normal,MI,0.8050371668599364,0.8002503491531485
Author,Gaussian MM,0.0,Normal,V Measure,0.8058652379074444,0.8010829943575921
Author,Gaussian MM,0.5,Laplace,ARI,0.765868692173755,0.7149835655612378
Author,Gaussian MM,0.5,Laplace,Fowlkes Mallows,0.8365792609657968,0.7979850009755228
Author,Gaussian MM,0.5,Laplace,MI,0.7688031677310618,0.7110779022206996
Author,Gaussian MM,0.5,Laplace,V Measure,0.7697865377423295,0.7122804306319103
Author,Gaussian MM,0.5,Normal,ARI,0.7702124802916527,0.7384933565030981
Author,Gaussian MM,0.5,Normal,Fowlkes Mallows,0.83966354698057,0.8148085836973216
Author,Gaussian MM,0.5,Normal,MI,0.7837805331282255,0.7521742704311053
Author,Gaussian MM,0.5,Normal,V Measure,0.7846987515195142,0.75320391437176
Author,Gaussian MM,1.0,Laplace,ARI,0.6240539227792002,0.4940528753623263
Author,Gaussian MM,1.0,Laplace,Fowlkes Mallows,0.735037445960622,0.6339406200171231
Author,Gaussian MM,1.0,Laplace,MI,0.6063428069320167,0.4726941031891746
Author,Gaussian MM,1.0,Laplace,V Measure,0.607999738208965,0.4748380692736261
Author,Gaussian MM,1.0,Normal,ARI,0.717121674037494,0.6389425923299009
Author,Gaussian MM,1.0,Normal,Fowlkes Mallows,0.8012819593366513,0.7408009136918633
Author,Gaussian MM,1.0,Normal,MI,0.7120755293390925,0.6263374460620906
Author,Gaussian MM,1.0,Normal,V Measure,0.7132921345155069,0.6278735602406648
Author,Gaussian MM,2.0,Laplace,ARI,0.21209915150741196,0.07929815110438881
Author,Gaussian MM,2.0,Laplace,Fowlkes Mallows,0.4370324922587829,0.3183547328066139
Author,Gaussian MM,2.0,Laplace,MI,0.21034615783323346,0.07859667815544691
Author,Gaussian MM,2.0,Laplace,V Measure,0.21362611518013225,0.08225708947794293
Author,Gaussian MM,2.0,Normal,ARI,0.4221716290554177,0.25807112138753246
Author,Gaussian MM,2.0,Normal,Fowlkes Mallows,0.5888877176891244,0.452754534631321
Author,Gaussian MM,2.0,Normal,MI,0.40732043033786747,0.24580194336607283
Author,Gaussian MM,2.0,Normal,V Measure,0.4097866718323637,0.24879803001806822
Author,Gaussian MM,3.0,Laplace,ARI,0.0489965728585166,0.0060200550979268245
Author,Gaussian MM,3.0,Laplace,Fowlkes Mallows,0.3228203620458469,0.26996449744395334
Author,Gaussian MM,3.0,Laplace,MI,0.050378273446670487,0.00600015084338706
Author,Gaussian MM,3.0,Laplace,V Measure,0.05435930137774009,0.010034430475391454
Author,Gaussian MM,3.0,Normal,ARI,0.17571451797898888,0.057835340180404926
Author,Gaussian MM,3.0,Normal,Fowlkes Mallows,0.4083654391113094,0.29666723537312034
Author,Gaussian MM,3.0,Normal,MI,0.175317659593522,0.05799793145329009
Author,Gaussian MM,3.0,Normal,V Measure,0.17872000599940946,0.06167621278567294
Author,Gaussian MM,4.0,Laplace,ARI,0.012026429894982085,0.00041205392790601115
Author,Gaussian MM,4.0,Laplace,Fowlkes Mallows,0.29663911034413487,0.2664026470959336
Author,Gaussian MM,4.0,Laplace,MI,0.01397891914886052,0.000453390376342301
Author,Gaussian MM,4.0,Laplace,V Measure,0.018110680075415993,0.004497808412675247
Author,Gaussian MM,4.0,Normal,ARI,0.053930825291565274,0.006886418087057626
Author,Gaussian MM,4.0,Normal,Fowlkes Mallows,0.32011467558617207,0.2585397137355898
Author,Gaussian MM,4.0,Normal,MI,0.05743811901556919,0.007208384657934934
Author,Gaussian MM,4.0,Normal,V Measure,0.0613270395944103,0.011085370108892417
Author,Gaussian MM,5.0,Laplace,ARI,0.006738809886330294,0.00015064457922597
Author,Gaussian MM,5.0,Laplace,Fowlkes Mallows,0.2928428567329464,0.2661951498876065
Author,Gaussian MM,5.0,Laplace,MI,0.007898794444147093,0.00015602359329840631
Author,Gaussian MM,5.0,Laplace,V Measure,0.012051560829463097,0.00419658567750807
Author,Gaussian MM,5.0,Normal,ARI,0.019155204578046106,0.000920178688449323
Author,Gaussian MM,5.0,Normal,Fowlkes Mallows,0.295110176970209,0.2544155889295713
Author,Gaussian MM,5.0,Normal,MI,0.02173028895180864,0.0009811404720188577
Author,Gaussian MM,5.0,Normal,V Measure,0.025767414291598276,0.004884039238487582
Author,HC (average),0.0,Laplace,ARI,0.9034197768883714,1.0
Author,HC (average),0.0,Laplace,Fowlkes Mallows,0.9356508071191602,1.0
Author,HC (average),0.0,Laplace,MI,0.8721998573223716,1.0
Author,HC (average),0.0,Laplace,V Measure,0.8727548799059407,1.0
Author,HC (average),0.0,Normal,ARI,0.9034197768883714,1.0
Author,HC (average),0.0,Normal,Fowlkes Mallows,0.9356508071191602,1.0
Author,HC (average),0.0,Normal,MI,0.8721998573223716,1.0
Author,HC (average),0.0,Normal,V Measure,0.8727548799059407,1.0
Author,HC (average),0.5,Laplace,ARI,0.8093203332465603,0.785219199467917
Author,HC (average),0.5,Laplace,Fowlkes Mallows,0.8719678175225526,0.8582065885822259
Author,HC (average),0.5,Laplace,MI,0.7593137837229729,0.71250417275718
Author,HC (average),0.5,Laplace,V Measure,0.7604231799809602,0.7138717922527165
Author,HC (average),0.5,Normal,ARI,0.8542146309255161,0.8595464030729526
Author,HC (average),0.5,Normal,Fowlkes Mallows,0.9016715758795665,0.9063612639258002
Author,HC (average),0.5,Normal,MI,0.8136496180291131,0.7971340609055266
Author,HC (average),0.5,Normal,V Measure,0.8144997422171601,0.7980910110971382
Author,HC (average),1.0,Laplace,ARI,0.4834934660097243,0.32552631860753856
Author,HC (average),1.0,Laplace,Fowlkes Mallows,0.6700140898438427,0.590112276440628
Author,HC (average),1.0,Laplace,MI,0.4424599856356744,0.2843234280674304
Author,HC (average),1.0,Laplace,V Measure,0.44522364805398856,0.28800152218386993
Author,HC (average),1.0,Normal,ARI,0.6303998164070349,0.5051986320242283
Author,HC (average),1.0,Normal,Fowlkes Mallows,0.7520799049471911,0.6745975296246186
Author,HC (average),1.0,Normal,MI,0.5700006287885305,0.4364251702459015
Author,HC (average),1.0,Normal,V Measure,0.5720082958614846,0.43914725906572305
Author,HC (average),2.0,Laplace,ARI,0.028886635839895848,0.0034994631159861486
Author,HC (average),2.0,Laplace,Fowlkes Mallows,0.5263910949716274,0.8296341152582066
Author,HC (average),2.0,Laplace,MI,0.02882851720076105,0.0021304786705101204
Author,HC (average),2.0,Laplace,V Measure,0.03639667043904391,0.011339480678690053
Author,HC (average),2.0,Normal,ARI,0.04561347211036201,0.010976919614458642
Author,HC (average),2.0,Normal,Fowlkes Mallows,0.5204764286902436,0.779899955401342
Author,HC (average),2.0,Normal,MI,0.04681038827469333,0.006623262929462058
Author,HC (average),2.0,Normal,V Measure,0.05391778615340618,0.01506234672535183
Author,HC (average),3.0,Laplace,ARI,0.0007944682218369084,-0.000402226266058462
Author,HC (average),3.0,Laplace,Fowlkes Mallows,0.5369222125959219,0.9230597180428541
Author,HC (average),3.0,Laplace,MI,0.0036724689660430567,-6.30517982757033e-05
Author,HC (average),3.0,Laplace,V Measure,0.011733166839512582,0.011379188277113608
Author,HC (average),3.0,Normal,ARI,0.0011952996120664474,1.944569496567158e-05
Author,HC (average),3.0,Normal,Fowlkes Mallows,0.5370949319121182,0.9228936056241237
Author,HC (average),3.0,Normal,MI,0.00368784461973915,-0.00020137196131011538
Author,HC (average),3.0,Normal,V Measure,0.011773061831355371,0.011445522780331525
Author,HC (average),4.0,Laplace,ARI,0.0012397521725667016,0.0004456426264143004
Author,HC (average),4.0,Laplace,Fowlkes Mallows,0.538214093661029,0.9266474740906367
Author,HC (average),4.0,Laplace,MI,0.003370967615059228,0.0002164297544683196
Author,HC (average),4.0,Laplace,V Measure,0.011458245800496617,0.011716522252966703
Author,HC (average),4.0,Normal,ARI,0.0010779062990477434,0.0007486909545627335
Author,HC (average),4.0,Normal,Fowlkes Mallows,0.5403523937296785,0.934394744164372
Author,HC (average),4.0,Normal,MI,0.002144277246868087,0.00035264125094274017
Author,HC (average),4.0,Normal,V Measure,0.010326688528470396,0.011596513887569961
Author,HC (average),5.0,Laplace,ARI,0.0004092964645735069,-0.0006498417296538905
Author,HC (average),5.0,Laplace,Fowlkes Mallows,0.5381510621611912,0.9281151480235655
Author,HC (average),5.0,Laplace,MI,0.0011582267051059578,-0.00020405425252565426
Author,HC (average),5.0,Laplace,V Measure,0.009320242495304514,0.011760676279502955
Author,HC (average),5.0,Normal,ARI,0.00045493311051830173,0.00013293842906355035
Author,HC (average),5.0,Normal,Fowlkes Mallows,0.5370793678328739,0.9243643044493635
Author,HC (average),5.0,Normal,MI,0.00212198493650074,8.401936585180914e-05
Author,HC (average),5.0,Normal,V Measure,0.010144246052775897,0.011276956422274333
Author,HC (complete),0.0,Laplace,ARI,0.7786106135147421,1.0
Author,HC (complete),0.0,Laplace,Fowlkes Mallows,0.8451588260389491,1.0
Author,HC (complete),0.0,Laplace,MI,0.8129023079752836,1.0
Author,HC (complete),0.0,Laplace,V Measure,0.8136919819083787,1.0
Author,HC (complete),0.0,Normal,ARI,0.7786106135147421,1.0
Author,HC (complete),0.0,Normal,Fowlkes Mallows,0.8451588260389491,1.0
Author,HC (complete),0.0,Normal,MI,0.8129023079752836,1.0
Author,HC (complete),0.0,Normal,V Measure,0.8136919819083787,1.0
Author,HC (complete),0.5,Laplace,ARI,0.7007332796450294,0.5626338674519058
Author,HC (complete),0.5,Laplace,Fowlkes Mallows,0.7903746791544216,0.686630186174884
Author,HC (complete),0.5,Laplace,MI,0.7068808907125324,0.5653166460096269
Author,HC (complete),0.5,Laplace,V Measure,0.7081227994425449,0.5671025737850279
