data,method,criteria,Accuracy,Consistency
Amphibians,Gaussian MM,ARI,-0.005106978143979718,0.0063020247999623445
Amphibians,Gaussian MM,MI,0.0020936127140165216,0.004976769402282373
Amphibians,Gaussian MM,Fowlkes Mallows,0.7023155465173362,0.5318148779165729
Amphibians,Gaussian MM,V Measure,0.015811868736352742,0.009178006722317375
Amphibians,HC (average),ARI,0.01782262069645064,0.02106194578776474
Amphibians,HC (average),MI,0.037969470948389435,0.01864192887217539
Amphibians,HC (average),Fowlkes Mallows,0.5646859670694402,0.8384343392225321
Amphibians,HC (average),V Measure,0.044046578500226675,0.02704771098543149
Amphibians,HC (complete),ARI,0.026086546377109415,1.0
Amphibians,HC (complete),MI,0.019269854990161144,1.0
Amphibians,HC (complete),Fowlkes Mallows,0.6702342473417444,1.0
Amphibians,HC (complete),V Measure,0.027701252541240066,1.0
Amphibians,HC (single),ARI,0.006765687275950953,0.00046173553875567593
Amphibians,HC (single),MI,-0.00018238711759518817,0.00040227875060835694
Amphibians,HC (single),Fowlkes Mallows,0.7016750907456012,0.9891099804367101
Amphibians,HC (single),V Measure,0.012832055499902986,0.006599195279252236
Amphibians,HC (ward),ARI,-0.005249904175376956,0.045045662439192787
Amphibians,HC (ward),MI,0.0018945829853978947,0.037231553913282166
Amphibians,HC (ward),Fowlkes Mallows,0.7025242667442056,0.5630778180210992
Amphibians,HC (ward),V Measure,0.01565811922351825,0.04128646198103979
Amphibians,K-Means,ARI,-0.0053128357130511296,0.026063778758482873
Amphibians,K-Means,MI,0.0018640917630730097,0.019824365473248173
Amphibians,K-Means,Fowlkes Mallows,0.7023910572443444,0.5187770104566437
Amphibians,K-Means,V Measure,0.015590286908670632,0.02364497709707092
Amphibians,K-Means (minibatch),ARI,-0.005111529193999037,0.4188699081567252
Amphibians,K-Means (minibatch),MI,0.0023177265808056614,0.3776807263591925
Amphibians,K-Means (minibatch),Fowlkes Mallows,0.696570795107836,0.7399588410575618
Amphibians,K-Means (minibatch),V Measure,0.015683627198965492,0.38052795770421965
Amphibians,K-Means++,ARI,-0.0053128357130511296,0.4626712719454925
Amphibians,K-Means++,MI,0.0018640917630730102,0.38593407499368504
Amphibians,K-Means++,Fowlkes Mallows,0.7023910572443444,0.7397593932273118
Amphibians,K-Means++,V Measure,0.015590286908670632,0.38836405580994465
Amphibians,Birch,ARI,-0.005249904175376956,1.0
Amphibians,Birch,MI,0.0018945829853978947,1.0
Amphibians,Birch,Fowlkes Mallows,0.7025242667442056,1.0
Amphibians,Birch,V Measure,0.01565811922351825,1.0
Amphibians,Spectral (NN),ARI,-0.0032371786394468968,0.5622796240511904
Amphibians,Spectral (NN),MI,-0.001782872006425741,0.4806199506947442
Amphibians,Spectral (NN),Fowlkes Mallows,0.5164285894971277,0.7907911817974085
Amphibians,Spectral (NN),V Measure,0.003992877753124363,0.4826950804548376
Amphibians,Spectral (RBF),ARI,0.0010946925438072423,0.16144437219085983
Amphibians,Spectral (RBF),MI,0.001150577183251174,0.15441517453682205
Amphibians,Spectral (RBF),Fowlkes Mallows,0.7092679720549243,0.9898745934694535
Amphibians,Spectral (RBF),V Measure,0.013323526054977393,0.15984505663209353
TCGA,Gaussian MM,ARI,0.31069160863757367,0.5825735112773214
TCGA,Gaussian MM,MI,0.37329304361776666,0.6353153342704186
TCGA,Gaussian MM,Fowlkes Mallows,0.49824895073163394,0.6772208119254634
TCGA,Gaussian MM,V Measure,0.38539702484238797,0.6396766940022703
TCGA,HC (average),ARI,0.01202502347077771,0.001994833083390344
TCGA,HC (average),MI,0.02514817101413981,0.0018276027209405312
TCGA,HC (average),Fowlkes Mallows,0.5411636168271636,0.9813231613032392
TCGA,HC (average),V Measure,0.05213313953290855,0.012272073417014558
TCGA,HC (complete),ARI,0.2539268144303235,0.0002043360375739979
TCGA,HC (complete),MI,0.30200296379680425,0.0002565857121489944
TCGA,HC (complete),Fowlkes Mallows,0.5094714588430673,0.30233164417101277
TCGA,HC (complete),V Measure,0.31685598597013837,0.014243503342164975
TCGA,HC (single),ARI,0.005670493582431217,0.0007123017858214754
TCGA,HC (single),MI,0.0037660166205305224,0.0007143008966645055
TCGA,HC (single),Fowlkes Mallows,0.5465273838910029,0.9820959689661588
TCGA,HC (single),V Measure,0.027941315207437586,0.01095862717326674
TCGA,HC (ward),ARI,0.31483764296829175,0.004013948766047353
TCGA,HC (ward),MI,0.36454518978825495,0.00435945333106632
TCGA,HC (ward),Fowlkes Mallows,0.5081029024952779,0.24412316754198193
TCGA,HC (ward),V Measure,0.3769808340450734,0.016611771269372702
TCGA,K-Means,ARI,0.3342425837235526,0.8634520144600856
TCGA,K-Means,MI,0.3894711570144435,0.8540591136413059
TCGA,K-Means,Fowlkes Mallows,0.5152540744766915,0.8945933849917997
TCGA,K-Means,V Measure,0.40125128563101436,0.8558023830459169
TCGA,K-Means (minibatch),ARI,0.29370987487249733,0.4468832601831383
TCGA,K-Means (minibatch),MI,0.35999536769407586,0.52768306401283
TCGA,K-Means (minibatch),Fowlkes Mallows,0.4875668369191177,0.5796741173966427
TCGA,K-Means (minibatch),V Measure,0.3723951645577109,0.5334866533593668
TCGA,K-Means++,ARI,0.33672895589692686,0.00021639968149225506
TCGA,K-Means++,MI,0.39006690119560283,0.0002955588664008978
TCGA,K-Means++,Fowlkes Mallows,0.5166214305217315,0.2476505644648629
TCGA,K-Means++,V Measure,0.40182133458524727,0.012925392198683508
TCGA,Birch,ARI,0.3143467483663233,0.057164697408378456
TCGA,Birch,MI,0.36470789992124325,0.06775590354483745
TCGA,Birch,Fowlkes Mallows,0.5078271648862811,0.28800249796155764
TCGA,Birch,V Measure,0.37714234861306123,0.07933599449260823
TCGA,Spectral (NN),ARI,0.2873348080749774,0.03731919964816912
TCGA,Spectral (NN),MI,0.3680732255727434,0.046643407362008435
TCGA,Spectral (NN),Fowlkes Mallows,0.4883852741805896,0.25751339239046095
TCGA,Spectral (NN),V Measure,0.3804547129631956,0.058133031900914456
TCGA,Spectral (RBF),ARI,0.0025389830688012974,0.9461262451269216
TCGA,Spectral (RBF),MI,0.005058550575409775,0.9462976087772786
TCGA,Spectral (RBF),Fowlkes Mallows,0.5467064428428304,0.9991677494607566
TCGA,Spectral (RBF),V Measure,0.01422063139361373,0.9467635745155618
Author,Gaussian MM,ARI,0.8071159567807799,0.07929815110438881
Author,Gaussian MM,MI,0.820768235627951,0.07859667815544691
Author,Gaussian MM,Fowlkes Mallows,0.8655379831715098,0.3183547328066139
Author,Gaussian MM,V Measure,0.8218661786284948,0.08225708947794293
Author,HC (average),ARI,0.878059358074663,0.4528304653680661
Author,HC (average),MI,0.857595302828852,0.40252739799932874
Author,HC (average),Fowlkes Mallows,0.9173439908296946,0.6542309045972184
Author,HC (average),V Measure,0.8585062815358785,0.40548696303328635
Author,HC (complete),ARI,0.8025720095737436,0.12603897403721673
Author,HC (complete),MI,0.8217455545572679,0.13303385127882447
Author,HC (complete),Fowlkes Mallows,0.8621431560033253,0.3690337940617591
Author,HC (complete),V Measure,0.822837604002354,0.13655579451181457
Author,HC (single),ARI,0.0006376521388032956,0.0018244978899390099
Author,HC (single),MI,0.0022870669560510703,0.0018262750855603967
