data,method,criteria,Accuracy,Consistency
Author,Birch,ARI,0.97612200656611,0.9681071821033378
Author,Birch,Fowlkes Mallows,0.9835681468715766,0.9780598933699511
Author,Birch,MI,0.9636558070836824,0.954162833101197
Author,Birch,V Measure,0.9638863613623737,0.9545840949604345
Author,Gaussian MM,ARI,0.79820688794781,0.7829287292234528
Author,Gaussian MM,Fowlkes Mallows,0.8593850848412966,0.8467651386563863
Author,Gaussian MM,MI,0.8120673532244481,0.8047667972263922
Author,Gaussian MM,V Measure,0.8132174295729656,0.8064517228035355
Author,HC (average),ARI,0.896562511331157,0.935142081383431
Author,HC (average),Fowlkes Mallows,0.9303177505899801,0.9567795349768786
Author,HC (average),MI,0.8766673791553268,0.9123678192272542
Author,HC (average),V Measure,0.8774429183370591,0.9130836374267032
Author,HC (complete),ARI,0.8295139391379014,0.7692979380206563
Author,HC (complete),Fowlkes Mallows,0.8810983350363428,0.8366304200791408
Author,HC (complete),MI,0.8399673915281918,0.7826356213832375
Author,HC (complete),V Measure,0.8409534912865125,0.7845284616326279
Author,HC (single),ARI,0.0,0.39004100349895743
Author,HC (single),Fowlkes Mallows,0.5543577934274571,0.9930904512856544
Author,HC (single),MI,0.0,0.3917835556164384
Author,HC (single),V Measure,0.009297614804666465,0.395268875185343
Author,HC (ward),ARI,0.9718235917160905,0.9621956623196587
Author,HC (ward),Fowlkes Mallows,0.9806153753317892,0.9740019152931964
Author,HC (ward),MI,0.957287942939118,0.9465707703344077
Author,HC (ward),V Measure,0.9575590050674078,0.9470620838642201
Author,K-Means,ARI,0.9358547193262022,0.9843447679488055
Author,K-Means,Fowlkes Mallows,0.9557603935625528,0.9891438590960366
Author,K-Means,MI,0.9152356419957374,0.9793415199138278
Author,K-Means,V Measure,0.9157711701668444,0.9795284902703242
Author,K-Means (minibatch),ARI,0.797357825294119,0.7660362184058633
Author,K-Means (minibatch),Fowlkes Mallows,0.8588421448822878,0.8349970326001454
Author,K-Means (minibatch),MI,0.80772483750286,0.7899656265915097
Author,K-Means (minibatch),V Measure,0.8089047546620222,0.7917843820905905
Author,K-Means++,ARI,0.9311587454026238,0.9760912520481789
Author,K-Means++,Fowlkes Mallows,0.9524670986377463,0.9833438913665739
Author,K-Means++,MI,0.9115679719119961,0.9724368298886967
Author,K-Means++,V Measure,0.9121254757194842,0.9726835795010564
Author,Spectral (NN),ARI,0.9742880644392826,0.9928244446918837
Author,Spectral (NN),Fowlkes Mallows,0.9823006281842006,0.9950595476428408
Author,Spectral (NN),MI,0.9613286200517233,0.9886469542351415
Author,Spectral (NN),V Measure,0.9615735929656459,0.9887510259052186
Author,Spectral (RBF),ARI,0.9545581648956294,0.9924053612931818
Author,Spectral (RBF),Fowlkes Mallows,0.968677279901212,0.9947576783757383
Author,Spectral (RBF),MI,0.9303883382773326,0.9874295719626754
Author,Spectral (RBF),V Measure,0.9308284154736135,0.9875443980656227
Bean,Birch,ARI,0.5486222315169944,0.5977185736145847
Bean,Birch,Fowlkes Mallows,0.6502612393010486,0.6967370628909115
Bean,Birch,MI,0.6788847149086856,0.6961508722650993
Bean,Birch,V Measure,0.6792378412620956,0.6966631626575722
Bean,Gaussian MM,ARI,0.653797535095497,0.8234662828510017
Bean,Gaussian MM,Fowlkes Mallows,0.7157027766641221,0.8571811578440822
Bean,Gaussian MM,MI,0.7207343054792118,0.860079533618852
Bean,Gaussian MM,V Measure,0.7210257604408713,0.8602917315102492
Bean,HC (average),ARI,0.36611389479717404,0.8889971946247208
Bean,HC (average),Fowlkes Mallows,0.5695688238105001,0.934854240497932
Bean,HC (average),MI,0.5378157305831439,0.8312073781258453
Bean,HC (average),V Measure,0.5384332185988421,0.8315308873400411
Bean,HC (complete),ARI,0.4383828026511854,0.6197043562896125
Bean,HC (complete),Fowlkes Mallows,0.5745737538294664,0.7284303623430112
Bean,HC (complete),MI,0.5547612881934029,0.6646502995614321
Bean,HC (complete),V Measure,0.5552856761135827,0.6652812120294751
Bean,HC (single),ARI,1.2083692271443228e-05,0.5991144383267444
Bean,HC (single),Fowlkes Mallows,0.4154290416759794,0.9995017637995397
Bean,HC (single),MI,0.0,0.5998000596826758
Bean,HC (single),V Measure,0.0012493216913888265,0.6000608289415272
Bean,HC (ward),ARI,0.49376314959984385,0.5855019025757475
Bean,HC (ward),Fowlkes Mallows,0.5817552001326617,0.658396275352722
Bean,HC (ward),MI,0.5906494454032684,0.6562347023763438
Bean,HC (ward),V Measure,0.5910715470303518,0.656741206150675
Bean,K-Means,ARI,0.6690853188211433,0.9863284861703101
Bean,K-Means,Fowlkes Mallows,0.7278833770694078,0.9888105685315083
Bean,K-Means,MI,0.7141734597457635,0.9811188097122023
Bean,K-Means,V Measure,0.7144723818794858,0.9811474393380275
Bean,K-Means (minibatch),ARI,0.629194208095849,0.7157632732053891
Bean,K-Means (minibatch),Fowlkes Mallows,0.6976636474053747,0.7719264953176714
Bean,K-Means (minibatch),MI,0.696504433065635,0.789577444607514
Bean,K-Means (minibatch),V Measure,0.6968227060622547,0.7898987756620832
Bean,K-Means++,ARI,0.6690520759586467,0.9858462087263955
Bean,K-Means++,Fowlkes Mallows,0.7278630528561475,0.9884167171269075
Bean,K-Means++,MI,0.7141732827244754,0.9805915992692942
Bean,K-Means++,V Measure,0.7144722193482681,0.9806210319291507
Bean,Spectral (NN),ARI,0.5887161237990207,0.7065559158424896
Bean,Spectral (NN),Fowlkes Mallows,0.6656929686913918,0.7639745941307022
