data,method1,method2,noise,sigma,criteria,rank,value,methods
Amphibians,DAE,DAE,Laplace,0.0,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,0.0,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,0.0,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,0.0,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,0.5,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,0.5,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,0.5,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,0.5,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,1.0,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,1.0,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,1.0,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,1.0,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,1.5,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,1.5,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,1.5,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,1.5,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,2.0,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,2.0,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,2.0,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Laplace,2.0,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,0.0,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,0.0,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,0.0,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,0.0,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,0.5,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,0.5,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,0.5,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,0.5,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,1.0,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,1.0,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,1.0,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,1.0,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,1.5,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,1.5,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,1.5,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,1.5,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,2.0,ARI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,2.0,MI,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,2.0,Fowlkes Mallows,10,1.0,DAE:DAE
Amphibians,DAE,DAE,Normal,2.0,V Measure,10,1.0,DAE:DAE
Amphibians,DAE,Isomap,Laplace,0.0,ARI,10,-0.00552292819247412,DAE:Isomap
