data,method1,method2,criteria,value,methods
TCGA,Gaussian MM,Gaussian MM,ARI,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,Gaussian MM,MI,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,Gaussian MM,Fowlkes Mallows,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,Gaussian MM,V Measure,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,K-Means,ARI,0.5841120399732647,Gaussian MM:K-Means
TCGA,Gaussian MM,K-Means,MI,0.637711434955584,Gaussian MM:K-Means
TCGA,Gaussian MM,K-Means,Fowlkes Mallows,0.678909457515158,Gaussian MM:K-Means
TCGA,Gaussian MM,K-Means,V Measure,0.6439967043306426,Gaussian MM:K-Means
TCGA,Gaussian MM,HC (average),ARI,0.4056330604872547,Gaussian MM:HC (average)
TCGA,Gaussian MM,HC (average),MI,0.4885956837354534,Gaussian MM:HC (average)
TCGA,Gaussian MM,HC (average),Fowlkes Mallows,0.5854230094161132,Gaussian MM:HC (average)
TCGA,Gaussian MM,HC (average),V Measure,0.49859803194881375,Gaussian MM:HC (average)
TCGA,HC (average),HC (average),ARI,1.0,HC (average):HC (average)
TCGA,HC (average),HC (average),MI,1.0,HC (average):HC (average)
TCGA,HC (average),HC (average),Fowlkes Mallows,1.0,HC (average):HC (average)
TCGA,HC (average),HC (average),V Measure,1.0,HC (average):HC (average)
TCGA,HC (average),HC (single),ARI,0.02023234139403764,HC (average):HC (single)
TCGA,HC (average),HC (single),MI,0.03856860477849318,HC (average):HC (single)
TCGA,HC (average),HC (single),Fowlkes Mallows,0.5950448076329473,HC (average):HC (single)
TCGA,HC (average),HC (single),V Measure,0.061910109570777444,HC (average):HC (single)
TCGA,HC (average),K-Means,ARI,0.42020657899615493,HC (average):K-Means
TCGA,HC (average),K-Means,MI,0.49261238713144456,HC (average):K-Means
TCGA,HC (average),K-Means,Fowlkes Mallows,0.5969215003207421,HC (average):K-Means
TCGA,HC (average),K-Means,V Measure,0.5025518337035113,HC (average):K-Means
TCGA,HC (average),K-Means (minibatch),ARI,0.37297795751086016,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means (minibatch),MI,0.45790107180590134,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means (minibatch),Fowlkes Mallows,0.5652965206290343,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means (minibatch),V Measure,0.4685568216582696,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means++,ARI,0.4232847307659261,HC (average):K-Means++
TCGA,HC (average),K-Means++,MI,0.4995819251800788,HC (average):K-Means++
TCGA,HC (average),K-Means++,Fowlkes Mallows,0.5988641148580639,HC (average):K-Means++
TCGA,HC (average),K-Means++,V Measure,0.5093781862324321,HC (average):K-Means++
TCGA,Birch,HC (average),ARI,0.40518448289578546,Birch:HC (average)
TCGA,Birch,HC (average),MI,0.47925596070100823,Birch:HC (average)
