data,method1,method2,criteria,value,methods
Amphibians,Gaussian MM,Gaussian MM,ARI,1.0,Gaussian MM:Gaussian MM
Amphibians,Gaussian MM,Gaussian MM,MI,1.0,Gaussian MM:Gaussian MM
Amphibians,Gaussian MM,Gaussian MM,Fowlkes Mallows,1.0,Gaussian MM:Gaussian MM
Amphibians,Gaussian MM,Gaussian MM,V Measure,1.0,Gaussian MM:Gaussian MM
Amphibians,Gaussian MM,K-Means,ARI,0.989775289957209,Gaussian MM:K-Means
Amphibians,Gaussian MM,K-Means,MI,0.9867359174101399,Gaussian MM:K-Means
Amphibians,Gaussian MM,K-Means,Fowlkes Mallows,0.9992897954908411,Gaussian MM:K-Means
Amphibians,Gaussian MM,K-Means,V Measure,0.986945753899361,Gaussian MM:K-Means
Amphibians,Gaussian MM,HC (average),ARI,0.02864743928061151,Gaussian MM:HC (average)
Amphibians,Gaussian MM,HC (average),MI,0.02518754034205537,Gaussian MM:HC (average)
Amphibians,Gaussian MM,HC (average),Fowlkes Mallows,0.775935088629197,Gaussian MM:HC (average)
Amphibians,Gaussian MM,HC (average),V Measure,0.03877346626977183,Gaussian MM:HC (average)
Amphibians,HC (average),HC (average),ARI,1.0,HC (average):HC (average)
Amphibians,HC (average),HC (average),MI,1.0,HC (average):HC (average)
Amphibians,HC (average),HC (average),Fowlkes Mallows,1.0,HC (average):HC (average)
Amphibians,HC (average),HC (average),V Measure,1.0,HC (average):HC (average)
Amphibians,HC (average),HC (single),ARI,-0.01914422462636411,HC (average):HC (single)
Amphibians,HC (average),HC (single),MI,0.005699932632064638,HC (average):HC (single)
Amphibians,HC (average),HC (single),Fowlkes Mallows,0.7586138762996787,HC (average):HC (single)
Amphibians,HC (average),HC (single),V Measure,0.019271162969600516,HC (average):HC (single)
Amphibians,HC (average),K-Means,ARI,0.028547591795621215,HC (average):K-Means
Amphibians,HC (average),K-Means,MI,0.024741171155656688,HC (average):K-Means
Amphibians,HC (average),K-Means,Fowlkes Mallows,0.7760351722426655,HC (average):K-Means
Amphibians,HC (average),K-Means,V Measure,0.03835145004018617,HC (average):K-Means
Amphibians,HC (average),K-Means (minibatch),ARI,0.03606264249787635,HC (average):K-Means (minibatch)
Amphibians,HC (average),K-Means (minibatch),MI,0.02825181395872411,HC (average):K-Means (minibatch)
Amphibians,HC (average),K-Means (minibatch),Fowlkes Mallows,0.7725351966556664,HC (average):K-Means (minibatch)
Amphibians,HC (average),K-Means (minibatch),V Measure,0.04155455443166334,HC (average):K-Means (minibatch)
Amphibians,HC (average),K-Means++,ARI,0.028547591795621215,HC (average):K-Means++
Amphibians,HC (average),K-Means++,MI,0.02474117115565669,HC (average):K-Means++
Amphibians,HC (average),K-Means++,Fowlkes Mallows,0.7760351722426655,HC (average):K-Means++
Amphibians,HC (average),K-Means++,V Measure,0.03835145004018617,HC (average):K-Means++
Amphibians,Birch,HC (average),ARI,0.028293969343146805,Birch:HC (average)
Amphibians,Birch,HC (average),MI,0.02496930478994214,Birch:HC (average)
Amphibians,Birch,HC (average),Fowlkes Mallows,0.776100036425516,Birch:HC (average)
Amphibians,Birch,HC (average),V Measure,0.038600495322152865,Birch:HC (average)
Amphibians,Gaussian MM,HC (complete),ARI,-0.020314335881660376,Gaussian MM:HC (complete)
Amphibians,Gaussian MM,HC (complete),MI,-0.008189291115728909,Gaussian MM:HC (complete)
Amphibians,Gaussian MM,HC (complete),Fowlkes Mallows,0.9101551061524985,Gaussian MM:HC (complete)
Amphibians,Gaussian MM,HC (complete),V Measure,0.006206288234678123,Gaussian MM:HC (complete)
Amphibians,HC (average),HC (complete),ARI,-0.04596402959507,HC (average):HC (complete)
Amphibians,HC (average),HC (complete),MI,0.03459884499005625,HC (average):HC (complete)
Amphibians,HC (average),HC (complete),Fowlkes Mallows,0.7084150366757505,HC (average):HC (complete)
Amphibians,HC (average),HC (complete),V Measure,0.04447877795716402,HC (average):HC (complete)
Amphibians,HC (complete),HC (complete),ARI,1.0,HC (complete):HC (complete)
Amphibians,HC (complete),HC (complete),MI,1.0,HC (complete):HC (complete)
Amphibians,HC (complete),HC (complete),Fowlkes Mallows,1.0,HC (complete):HC (complete)
Amphibians,HC (complete),HC (complete),V Measure,1.0,HC (complete):HC (complete)
Amphibians,HC (complete),HC (single),ARI,0.3681664840190566,HC (complete):HC (single)
Amphibians,HC (complete),HC (single),MI,0.3003356854563856,HC (complete):HC (single)
Amphibians,HC (complete),HC (single),Fowlkes Mallows,0.9426293672617373,HC (complete):HC (single)
Amphibians,HC (complete),HC (single),V Measure,0.31083732352283133,HC (complete):HC (single)
Amphibians,HC (complete),K-Means,ARI,-0.02034540674549212,HC (complete):K-Means
Amphibians,HC (complete),K-Means,MI,-0.008181073792504701,HC (complete):K-Means
Amphibians,HC (complete),K-Means,Fowlkes Mallows,0.910368154303571,HC (complete):K-Means
Amphibians,HC (complete),K-Means,V Measure,0.006215134060396001,HC (complete):K-Means
