data,method1,method2,noise,sigma,clustering,criteria,rank,value
TCGA,DAE,DAE,Laplace,0.0,K-Means,ARI,2,1.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,ARI,5,1.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,ARI,10,1.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,MI,2,1.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,MI,5,1.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,MI,10,1.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,Fowlkes Mallows,2,0.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,Fowlkes Mallows,5,0.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,Fowlkes Mallows,10,0.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,V Measure,2,1.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,V Measure,5,1.0
TCGA,DAE,DAE,Laplace,0.0,K-Means,V Measure,10,1.0
TCGA,DAE,DAE,Laplace,0.0,HC,ARI,2,1.0
TCGA,DAE,DAE,Laplace,0.0,HC,ARI,5,1.0
TCGA,DAE,DAE,Laplace,0.0,HC,ARI,10,1.0
TCGA,DAE,DAE,Laplace,0.0,HC,MI,2,1.0
TCGA,DAE,DAE,Laplace,0.0,HC,MI,5,1.0
TCGA,DAE,DAE,Laplace,0.0,HC,MI,10,1.0
TCGA,DAE,DAE,Laplace,0.0,HC,Fowlkes Mallows,2,0.0
TCGA,DAE,DAE,Laplace,0.0,HC,Fowlkes Mallows,5,0.0
TCGA,DAE,DAE,Laplace,0.0,HC,Fowlkes Mallows,10,0.0
TCGA,DAE,DAE,Laplace,0.0,HC,V Measure,2,1.0
TCGA,DAE,DAE,Laplace,0.0,HC,V Measure,5,1.0
TCGA,DAE,DAE,Laplace,0.0,HC,V Measure,10,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,ARI,2,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,ARI,5,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,ARI,10,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,MI,2,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,MI,5,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,MI,10,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,V Measure,2,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,V Measure,5,1.0
TCGA,DAE,DAE,Laplace,0.5,K-Means,V Measure,10,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,ARI,2,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,ARI,5,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,ARI,10,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,MI,2,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,MI,5,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,MI,10,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,V Measure,2,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,V Measure,5,1.0
TCGA,DAE,DAE,Laplace,0.5,HC,V Measure,10,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,ARI,2,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,ARI,5,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,ARI,10,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,MI,2,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,MI,5,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,MI,10,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,V Measure,2,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,V Measure,5,1.0
TCGA,DAE,DAE,Laplace,1.0,K-Means,V Measure,10,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,ARI,2,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,ARI,5,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,ARI,10,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,MI,2,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,MI,5,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,MI,10,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,V Measure,2,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,V Measure,5,1.0
TCGA,DAE,DAE,Laplace,1.0,HC,V Measure,10,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,ARI,2,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,ARI,5,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,ARI,10,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,MI,2,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,MI,5,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,MI,10,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,V Measure,2,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,V Measure,5,1.0
TCGA,DAE,DAE,Laplace,2.0,K-Means,V Measure,10,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,ARI,2,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,ARI,5,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,ARI,10,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,MI,2,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,MI,5,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,MI,10,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,V Measure,2,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,V Measure,5,1.0
TCGA,DAE,DAE,Laplace,2.0,HC,V Measure,10,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,ARI,2,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,ARI,5,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,ARI,10,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,MI,2,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,MI,5,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,MI,10,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,V Measure,2,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,V Measure,5,1.0
TCGA,DAE,DAE,Normal,0.0,K-Means,V Measure,10,1.0
TCGA,DAE,DAE,Normal,0.0,HC,ARI,2,1.0
TCGA,DAE,DAE,Normal,0.0,HC,ARI,5,1.0
TCGA,DAE,DAE,Normal,0.0,HC,ARI,10,1.0
TCGA,DAE,DAE,Normal,0.0,HC,MI,2,1.0
