,data,method,noise,sigma,criteria,rank,AUC
0,Author,DAE,Laplace,0.5,Jaccard,2,0.5135341768575301
1,Author,DAE,Laplace,0.5,Kendall,2,0.5206528996704816
2,Author,DAE,Laplace,0.5,RBO,2,0.40324637464823654
3,Author,DAE,Normal,0.5,Jaccard,2,0.5156964944067585
4,Author,DAE,Normal,0.5,Kendall,2,0.49261380363690366
5,Author,DAE,Normal,0.5,RBO,2,0.38864105805940014
6,Author,Isomap,Laplace,0.0,Jaccard,2,0.9800000000000001
7,Author,Isomap,Laplace,0.0,Kendall,2,0.9800000000000001
8,Author,Isomap,Laplace,0.0,RBO,2,0.9800000000000001
9,Author,Isomap,Laplace,0.5,Jaccard,2,0.3807107214470329
10,Author,Isomap,Laplace,0.5,Kendall,2,0.49041982962039476
11,Author,Isomap,Laplace,0.5,RBO,2,0.2477669623539715
12,Author,Isomap,Laplace,1.0,Jaccard,2,0.3799818565434946
13,Author,Isomap,Laplace,1.0,Kendall,2,0.4900100769825305
14,Author,Isomap,Laplace,1.0,RBO,2,0.24662727928105582
15,Author,Isomap,Laplace,2.0,Jaccard,2,0.37979517599389706
16,Author,Isomap,Laplace,2.0,Kendall,2,0.4900183531526904
17,Author,Isomap,Laplace,2.0,RBO,2,0.24630630842952309
18,Author,Isomap,Normal,0.0,Jaccard,2,0.9800000000000001
19,Author,Isomap,Normal,0.0,Kendall,2,0.9800000000000001
20,Author,Isomap,Normal,0.0,RBO,2,0.9800000000000001
21,Author,Isomap,Normal,0.5,Jaccard,2,0.6631660216811559
22,Author,Isomap,Normal,0.5,Jaccard,5,0.3848714566963367
23,Author,Isomap,Normal,0.5,Kendall,2,0.5877463436696172
24,Author,Isomap,Normal,0.5,Kendall,5,0.49104136836568135
25,Author,Isomap,Normal,0.5,RBO,2,0.5594803192090546
26,Author,Isomap,Normal,0.5,RBO,5,0.25356016820583177
27,Author,Isomap,Normal,1.0,Jaccard,2,0.3801425063657552
28,Author,Isomap,Normal,1.0,Kendall,2,0.49025373946298945
29,Author,Isomap,Normal,1.0,RBO,2,0.2467920542394227
30,Author,Isomap,Normal,2.0,Jaccard,2,0.3796678812805826
31,Author,Isomap,Normal,2.0,Kendall,2,0.49005330603250236
32,Author,Isomap,Normal,2.0,RBO,2,0.2463022326231455
33,Author,MDS,Laplace,0.0,Jaccard,2,0.9376455790779329
34,Author,MDS,Laplace,0.0,Kendall,2,0.5769511793070874
35,Author,MDS,Laplace,0.0,RBO,2,0.9233603498247652
36,Author,MDS,Laplace,0.5,Jaccard,2,0.380440014046762
37,Author,MDS,Laplace,0.5,Kendall,2,0.49016004698891247
38,Author,MDS,Laplace,0.5,RBO,2,0.24725888695256953
39,Author,MDS,Laplace,1.0,Jaccard,2,0.38015998897138426
40,Author,MDS,Laplace,1.0,Kendall,2,0.4900336040666223
41,Author,MDS,Laplace,1.0,RBO,2,0.24654329458934152
42,Author,MDS,Laplace,2.0,Jaccard,2,0.37999412231930574
43,Author,MDS,Laplace,2.0,Kendall,2,0.48989129155160094
44,Author,MDS,Laplace,2.0,RBO,2,0.2463142449553876
45,Author,MDS,Normal,0.0,Jaccard,2,0.9379344982532845
46,Author,MDS,Normal,0.0,Kendall,2,0.5795033527367324
47,Author,MDS,Normal,0.0,RBO,2,0.9239094362288874
48,Author,MDS,Normal,0.5,Jaccard,2,0.7361430592279978
49,Author,MDS,Normal,0.5,Jaccard,5,0.39025043586148095
50,Author,MDS,Normal,0.5,Kendall,2,0.5405325573196863
51,Author,MDS,Normal,0.5,Kendall,5,0.4916755775571163
52,Author,MDS,Normal,0.5,RBO,2,0.672757537714883
53,Author,MDS,Normal,0.5,RBO,5,0.260430230554383
54,Author,MDS,Normal,1.0,Jaccard,2,0.37989872771455513
55,Author,MDS,Normal,1.0,Kendall,2,0.4901027404039163
56,Author,MDS,Normal,1.0,RBO,2,0.24659918680732842
57,Author,MDS,Normal,2.0,Jaccard,2,0.37986599430247053
58,Author,MDS,Normal,2.0,Kendall,2,0.4900247285429743
59,Author,MDS,Normal,2.0,RBO,2,0.24636502933733742
60,Author,NMDS,Laplace,0.0,Jaccard,2,0.3854981697308995
61,Author,NMDS,Laplace,0.0,Kendall,2,0.4923947487990645
62,Author,NMDS,Laplace,0.0,RBO,2,0.2498544508429019
63,Author,NMDS,Laplace,0.5,Jaccard,2,0.38484236007635775
64,Author,NMDS,Laplace,0.5,Kendall,2,0.49203136183923474
65,Author,NMDS,Laplace,0.5,RBO,2,0.24929849034494034
66,Author,NMDS,Laplace,1.0,Jaccard,2,0.38565079598631546
67,Author,NMDS,Laplace,1.0,Kendall,2,0.492313521142516
68,Author,NMDS,Laplace,1.0,RBO,2,0.25005324404412804
69,Author,NMDS,Laplace,2.0,Jaccard,2,0.38540350145154184
70,Author,NMDS,Laplace,2.0,Kendall,2,0.49231816049730776
71,Author,NMDS,Laplace,2.0,RBO,2,0.2496797950026629
72,Author,NMDS,Normal,0.0,Jaccard,2,0.3850951235053679
73,Author,NMDS,Normal,0.0,Kendall,2,0.492194112929236
74,Author,NMDS,Normal,0.0,RBO,2,0.24966798382148175
75,Author,NMDS,Normal,0.5,Jaccard,2,0.3853385904959604
76,Author,NMDS,Normal,0.5,Kendall,2,0.49235611468115414
77,Author,NMDS,Normal,0.5,RBO,2,0.24976664578755128
78,Author,NMDS,Normal,1.0,Jaccard,2,0.38554741750237576
79,Author,NMDS,Normal,1.0,Kendall,2,0.491898769091968
80,Author,NMDS,Normal,1.0,RBO,2,0.24994747583766896
81,Author,NMDS,Normal,2.0,Jaccard,2,0.38508569465056763
82,Author,NMDS,Normal,2.0,Kendall,2,0.4921026901816046
83,Author,NMDS,Normal,2.0,RBO,2,0.2495645672954847
84,Author,PCA,Laplace,0.0,Jaccard,2,0.9800000000000001
85,Author,PCA,Laplace,0.0,Kendall,2,0.9800000000000001
86,Author,PCA,Laplace,0.0,RBO,2,0.9800000000000001
87,Author,PCA,Laplace,0.5,Jaccard,2,0.3884193448258319
88,Author,PCA,Laplace,0.5,Kendall,2,0.4908193289514977
89,Author,PCA,Laplace,0.5,RBO,2,0.25622850827391247
90,Author,PCA,Laplace,1.0,Jaccard,2,0.38018460415724775
91,Author,PCA,Laplace,1.0,Kendall,2,0.4900725103023308
92,Author,PCA,Laplace,1.0,RBO,2,0.2469421441535447
93,Author,PCA,Laplace,2.0,Jaccard,2,0.3796029905560346
94,Author,PCA,Laplace,2.0,Kendall,2,0.49000284246309406
95,Author,PCA,Laplace,2.0,RBO,2,0.2461181744002733
96,Author,PCA,Normal,0.0,Jaccard,2,0.9800000000000001
97,Author,PCA,Normal,0.0,Kendall,2,0.9800000000000001
98,Author,PCA,Normal,0.0,RBO,2,0.9800000000000001
99,Author,PCA,Normal,0.5,Jaccard,2,0.41967169930656656
100,Author,PCA,Normal,0.5,Kendall,2,0.49488617714166727
101,Author,PCA,Normal,0.5,RBO,2,0.2915498823929125
102,Author,PCA,Normal,1.0,Jaccard,2,0.38155079341716697
103,Author,PCA,Normal,1.0,Kendall,2,0.49036266766658165
104,Author,PCA,Normal,1.0,RBO,2,0.24833563432553923
105,Author,PCA,Normal,2.0,Jaccard,2,0.3801760050359266
106,Author,PCA,Normal,2.0,Kendall,2,0.48985515329368734
107,Author,PCA,Normal,2.0,RBO,2,0.2466631739153566
108,Author,Random Projection,Laplace,0.0,Jaccard,2,0.3912075986731956
109,Author,Random Projection,Laplace,0.0,Kendall,2,0.4919176743791135
110,Author,Random Projection,Laplace,0.0,RBO,2,0.26027337675269235
111,Author,Random Projection,Laplace,0.5,Jaccard,2,0.3802352882099459
112,Author,Random Projection,Laplace,0.5,Kendall,2,0.48993454627744587
113,Author,Random Projection,Laplace,0.5,RBO,2,0.24675887990837997
114,Author,Random Projection,Laplace,1.0,Jaccard,2,0.3799855042553166
115,Author,Random Projection,Laplace,1.0,Kendall,2,0.48993055767073224
116,Author,Random Projection,Laplace,1.0,RBO,2,0.24645209058534956
117,Author,Random Projection,Laplace,2.0,Jaccard,2,0.3799664403129093
118,Author,Random Projection,Laplace,2.0,Kendall,2,0.4900707430122136
119,Author,Random Projection,Laplace,2.0,RBO,2,0.2464465118305392
120,Author,Random Projection,Normal,0.0,Jaccard,2,0.39150778381513174
121,Author,Random Projection,Normal,0.0,Kendall,2,0.4921194973198874
122,Author,Random Projection,Normal,0.0,RBO,2,0.2611447593650292
123,Author,Random Projection,Normal,0.5,Jaccard,2,0.38009064072280835
124,Author,Random Projection,Normal,0.5,Kendall,2,0.4901388033143817
125,Author,Random Projection,Normal,0.5,RBO,2,0.2468267722073385
126,Author,Random Projection,Normal,1.0,Jaccard,2,0.3795003776843495
127,Author,Random Projection,Normal,1.0,Kendall,2,0.48997996671230415
128,Author,Random Projection,Normal,1.0,RBO,2,0.246173168801268
129,Author,Random Projection,Normal,2.0,Jaccard,2,0.3794591707759196
130,Author,Random Projection,Normal,2.0,Kendall,2,0.49003354460407583
131,Author,Random Projection,Normal,2.0,RBO,2,0.24611965203468494
132,Author,Spectral (NN),Laplace,0.0,Jaccard,2,0.9800000000000001
133,Author,Spectral (NN),Laplace,0.0,Kendall,2,0.9800000000000001
134,Author,Spectral (NN),Laplace,0.0,RBO,2,0.9800000000000001
135,Author,Spectral (NN),Laplace,0.5,Jaccard,2,0.3851207290574422
