data,method,clustering,sigma,noise,criteria,rank,Accuracy,Consistency
Author,DAE,HC,0.5,Laplace,ARI,2.0,0.3546567716866941,0.2294328961959941
Author,DAE,HC,0.5,Laplace,ARI,5.0,0.3780130945231048,0.25521898614988936
Author,DAE,HC,0.5,Laplace,ARI,10.0,0.36022217474755713,0.2298485339082889
Author,DAE,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.5590810585710365,0.475228563269749
Author,DAE,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.5749715233971407,0.491088408637193
Author,DAE,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.562482282556535,0.4763465308232826
Author,DAE,HC,0.5,Laplace,MI,2.0,0.3960993854393117,0.27435921672020513
Author,DAE,HC,0.5,Laplace,MI,5.0,0.4166354217553066,0.3092917438526035
Author,DAE,HC,0.5,Laplace,MI,10.0,0.4009907882220434,0.2855981187009709
Author,DAE,HC,0.5,Laplace,V Measure,2.0,0.3987332291255653,0.27750456513145866
Author,DAE,HC,0.5,Laplace,V Measure,5.0,0.4191738907073767,0.31226665269107906
Author,DAE,HC,0.5,Laplace,V Measure,10.0,0.4035974594338431,0.2886963622484068
Author,DAE,HC,0.5,Normal,ARI,2.0,0.3965449821857572,0.24238377445378234
Author,DAE,HC,0.5,Normal,ARI,5.0,0.39359474219921947,0.28226679047219544
Author,DAE,HC,0.5,Normal,ARI,10.0,0.3901280455803397,0.3032610767246969
Author,DAE,HC,0.5,Normal,Fowlkes Mallows,2.0,0.5906425551696358,0.4906412393716122
Author,DAE,HC,0.5,Normal,Fowlkes Mallows,5.0,0.582600486564998,0.5039088632318158
Author,DAE,HC,0.5,Normal,Fowlkes Mallows,10.0,0.5848353325913622,0.5268019052142114
Author,DAE,HC,0.5,Normal,MI,2.0,0.43763641449736457,0.2977643658880358
Author,DAE,HC,0.5,Normal,MI,5.0,0.4349441916310465,0.3390477378503233
Author,DAE,HC,0.5,Normal,MI,10.0,0.44210909333190296,0.3556078767078213
Author,DAE,HC,0.5,Normal,V Measure,2.0,0.4401069003194146,0.30085191877322737
Author,DAE,HC,0.5,Normal,V Measure,5.0,0.4373933966491873,0.3418779457186021
Author,DAE,HC,0.5,Normal,V Measure,10.0,0.4445485004231988,0.3584078879837534
Author,DAE,K-Means,0.5,Laplace,ARI,2.0,0.3681697439764715,0.24881838034685255
Author,DAE,K-Means,0.5,Laplace,ARI,5.0,0.3841808195133828,0.259074992322875
Author,DAE,K-Means,0.5,Laplace,ARI,10.0,0.3586926862550086,0.2296709508582861
Author,DAE,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.5681663142953428,0.4875700432139964
Author,DAE,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.5801861445796996,0.4959485289046656
Author,DAE,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.5642291092400086,0.4819483733321559
Author,DAE,K-Means,0.5,Laplace,MI,2.0,0.4025619645049929,0.2838986387432985
Author,DAE,K-Means,0.5,Laplace,MI,5.0,0.4173443741425414,0.308362939498977
Author,DAE,K-Means,0.5,Laplace,MI,10.0,0.3986231378977634,0.2853279321090993
