data,method,clustering,criteria,rank,Accuracy,Consistency
Author,DAE,HC,ARI,2.0,0.4178112312031132,0.25889823765566
Author,DAE,HC,ARI,5.0,0.43315283853484404,0.2751630374380258
Author,DAE,HC,ARI,10.0,0.4008321059555912,0.27263125109176295
Author,DAE,HC,Fowlkes Mallows,2.0,0.6054200427937471,0.5017906220722137
Author,DAE,HC,Fowlkes Mallows,5.0,0.6183831417105489,0.5171545502328176
Author,DAE,HC,Fowlkes Mallows,10.0,0.5975276517180697,0.519621335127673
Author,DAE,HC,MI,2.0,0.4491352419940317,0.2963113012142232
Author,DAE,HC,MI,5.0,0.4832617144011836,0.3371375271229899
Author,DAE,HC,MI,10.0,0.44754868059587305,0.32696970506092976
Author,DAE,HC,V Measure,2.0,0.4526349038585055,0.3027835756999147
Author,DAE,HC,V Measure,5.0,0.4865678203206583,0.3432811598645559
Author,DAE,HC,V Measure,10.0,0.4510892745114501,0.3332784231294142
Author,DAE,K-Means,ARI,2.0,0.4043916758705051,0.24697887767432178
Author,DAE,K-Means,ARI,5.0,0.44081796155286207,0.28716666505654986
Author,DAE,K-Means,ARI,10.0,0.4093745732529827,0.2886296950397469
Author,DAE,K-Means,Fowlkes Mallows,2.0,0.5952494821459214,0.4907627536361051
Author,DAE,K-Means,Fowlkes Mallows,5.0,0.6216075291529336,0.520317496180971
Author,DAE,K-Means,Fowlkes Mallows,10.0,0.6022891998057956,0.5275366514894474
Author,DAE,K-Means,MI,2.0,0.43940462257437224,0.28765204675902384
Author,DAE,K-Means,MI,5.0,0.4871606251116221,0.34860537811391973
Author,DAE,K-Means,MI,10.0,0.4540142445500521,0.33884460523956933
Author,DAE,K-Means,V Measure,2.0,0.44294460337643815,0.29411088434973615
Author,DAE,K-Means,V Measure,5.0,0.4904115293856765,0.35452750917145553
Author,DAE,K-Means,V Measure,10.0,0.45749762402494204,0.344978907596772
Author,Isomap,HC,ARI,2.0,0.9261031221580205,0.896968265396791
Author,Isomap,HC,ARI,5.0,0.9654448513394165,0.9627207350621578
Author,Isomap,HC,ARI,10.0,0.9607918972225975,0.955820340765844
Author,Isomap,HC,Fowlkes Mallows,2.0,0.9487145515386937,0.9282291335291794
Author,Isomap,HC,Fowlkes Mallows,5.0,0.9762128732034543,0.9743359811873393
Author,Isomap,HC,Fowlkes Mallows,10.0,0.9730080031816484,0.9695812507844515
Author,Isomap,HC,MI,2.0,0.9158612539711676,0.8931426462637928
Author,Isomap,HC,MI,5.0,0.9485017469256992,0.9467272209457094
Author,Isomap,HC,MI,10.0,0.941375193959248,0.9363721116980922
Author,Isomap,HC,V Measure,2.0,0.916386982653627,0.8941003491278195
Author,Isomap,HC,V Measure,5.0,0.9488279598416832,0.9472150855251852
Author,Isomap,HC,V Measure,10.0,0.9417465248439427,0.9369548981525483
Author,Isomap,K-Means,ARI,2.0,0.8934719949785372,0.8748110833849772
Author,Isomap,K-Means,ARI,5.0,0.9562052285080967,0.9751780473849285
Author,Isomap,K-Means,ARI,10.0,0.9517647501157066,0.9661834405021612
Author,Isomap,K-Means,Fowlkes Mallows,2.0,0.9258980499783527,0.9121202595936951
Author,Isomap,K-Means,Fowlkes Mallows,5.0,0.969828293832009,0.9828782255924431
Author,Isomap,K-Means,Fowlkes Mallows,10.0,0.9667053769287784,0.9765533393956
Author,Isomap,K-Means,MI,2.0,0.8775598549473562,0.8666483770463788
Author,Isomap,K-Means,MI,5.0,0.9350037543518913,0.9607627338170945
Author,Isomap,K-Means,MI,10.0,0.9317474612371945,0.954270489309903
Author,Isomap,K-Means,V Measure,2.0,0.878320126343679,0.86782398231871
Author,Isomap,K-Means,V Measure,5.0,0.9354149555465269,0.9611212937339394
Author,Isomap,K-Means,V Measure,10.0,0.9321781288526839,0.9546852936405194
Author,MDS,HC,ARI,2.0,0.6439030713931505,0.5945096160253617
Author,MDS,HC,ARI,5.0,0.7813365888322056,0.7906828676799477
Author,MDS,HC,ARI,10.0,0.9456272538263367,0.9146148026856674
Author,MDS,HC,Fowlkes Mallows,2.0,0.7482694968990959,0.7028834539125459
Author,MDS,HC,Fowlkes Mallows,5.0,0.847078999943799,0.8507407394929316
Author,MDS,HC,Fowlkes Mallows,10.0,0.9625518528035515,0.9411954057874496
Author,MDS,HC,MI,2.0,0.70892506424763,0.6789275565494595
Author,MDS,HC,MI,5.0,0.8042832955306891,0.7774880870187947
Author,MDS,HC,MI,10.0,0.9248508898226437,0.8892765822357069
Author,MDS,HC,V Measure,2.0,0.7106688327090841,0.681563595821107
Author,MDS,HC,V Measure,5.0,0.8054761865134664,0.7793855165668068
Author,MDS,HC,V Measure,10.0,0.9253267115048509,0.890290985559391
Author,MDS,K-Means,ARI,2.0,0.5606347810122055,0.7395369021983406
