data,model,method,K,criteria,Accuracy,Consistency
MNIST,LogisticLASSO,LogisticLASSO,1.0,Jaccard,0.9220900900900899,0.28378378378378377
MNIST,LogisticLASSO,LogisticLASSO,1.0,RBO,0.9220900900900899,0.28378378378378377
MNIST,LogisticLASSO,LogisticLASSO,2.0,Jaccard,0.9220900900900899,0.28528528528528646
MNIST,LogisticLASSO,LogisticLASSO,2.0,RBO,0.9220900900900899,0.32957957957957956
MNIST,LogisticLASSO,LogisticLASSO,3.0,Jaccard,0.9220900900900899,0.27267267267267153
MNIST,LogisticLASSO,LogisticLASSO,3.0,RBO,0.9220900900900899,0.35035035035035034
MNIST,LogisticLASSO,LogisticLASSO,4.0,Jaccard,0.9220900900900899,0.3327184327184331
MNIST,LogisticLASSO,LogisticLASSO,4.0,RBO,0.9220900900900899,0.38119369369369477
MNIST,LogisticLASSO,LogisticLASSO,5.0,Jaccard,0.9220900900900899,0.33409600076266616
MNIST,LogisticLASSO,LogisticLASSO,5.0,RBO,0.9220900900900899,0.40069069069069063
MNIST,LogisticLASSO,LogisticLASSO,6.0,Jaccard,0.9220900900900899,0.3451464451464458
MNIST,LogisticLASSO,LogisticLASSO,6.0,RBO,0.9220900900900899,0.41657490824157495
MNIST,LogisticLASSO,LogisticLASSO,7.0,Jaccard,0.9220900900900899,0.34947581614248346
MNIST,LogisticLASSO,LogisticLASSO,7.0,RBO,0.9220900900900899,0.42873792159506463
MNIST,LogisticLASSO,LogisticLASSO,8.0,Jaccard,0.9220900900900899,0.3581692248358932
MNIST,LogisticLASSO,LogisticLASSO,8.0,RBO,0.9220900900900899,0.4394287144287143
MNIST,LogisticLASSO,LogisticLASSO,9.0,Jaccard,0.9220900900900899,0.3772296397296391
MNIST,LogisticLASSO,LogisticLASSO,9.0,RBO,0.9220900900900899,0.4502926206629905
MNIST,LogisticLASSO,LogisticLASSO,10.0,Jaccard,0.9220900900900899,0.388754386303406
MNIST,LogisticLASSO,LogisticLASSO,10.0,RBO,0.9220900900900899,0.46029338862672203
MNIST,LogisticLASSO,LogisticLASSO,11.0,Jaccard,0.9220900900900899,0.3944883322463305
MNIST,LogisticLASSO,LogisticLASSO,11.0,RBO,0.9220900900900899,0.46911490396338923
MNIST,LogisticLASSO,LogisticLASSO,12.0,Jaccard,0.9220900900900899,0.4001430580377944
MNIST,LogisticLASSO,LogisticLASSO,12.0,RBO,0.9220900900900899,0.4770481881592995
MNIST,LogisticLASSO,LogisticLASSO,13.0,Jaccard,0.9220900900900899,0.41433412340275366
MNIST,LogisticLASSO,LogisticLASSO,13.0,RBO,0.9220900900900899,0.4848552566501287
MNIST,LogisticLASSO,LogisticLASSO,14.0,Jaccard,0.9220900900900899,0.4351363085165303
MNIST,LogisticLASSO,LogisticLASSO,14.0,RBO,0.9220900900900899,0.49295424533519766
MNIST,LogisticLASSO,LogisticLASSO,15.0,Jaccard,0.9220900900900899,0.44745438278551736
MNIST,LogisticLASSO,LogisticLASSO,15.0,RBO,0.9220900900900899,0.5008246963802516
MNIST,LogisticLASSO,LogisticLASSO,16.0,Jaccard,0.9220900900900899,0.4489348248508304
MNIST,LogisticLASSO,LogisticLASSO,16.0,RBO,0.9220900900900899,0.5078642283069367
MNIST,LogisticLASSO,LogisticLASSO,17.0,Jaccard,0.9220900900900899,0.45142621128636834
MNIST,LogisticLASSO,LogisticLASSO,17.0,RBO,0.9220900900900899,0.5142337182490015
MNIST,LogisticLASSO,LogisticLASSO,18.0,Jaccard,0.9220900900900899,0.44205024355659506
MNIST,LogisticLASSO,LogisticLASSO,18.0,RBO,0.9220900900900899,0.5194257908105953
MNIST,LogisticLASSO,LogisticLASSO,19.0,Jaccard,0.9220900900900899,0.43712530996684673
MNIST,LogisticLASSO,LogisticLASSO,19.0,RBO,0.9220900900900899,0.5238520427262895
MNIST,LogisticLASSO,LogisticLASSO,20.0,Jaccard,0.9220900900900899,0.43719265342445796
MNIST,LogisticLASSO,LogisticLASSO,20.0,RBO,0.9220900900900899,0.5278508820314166
MNIST,LogisticLASSO,LogisticLASSO,21.0,Jaccard,0.9220900900900899,0.4385026581235314
MNIST,LogisticLASSO,LogisticLASSO,21.0,RBO,0.9220900900900899,0.5315534879159015
MNIST,LogisticLASSO,LogisticLASSO,22.0,Jaccard,0.9220900900900899,0.43836064294692906
MNIST,LogisticLASSO,LogisticLASSO,22.0,RBO,0.9220900900900899,0.5349184591734903
MNIST,LogisticLASSO,LogisticLASSO,23.0,Jaccard,0.9220900900900899,0.4449431045768396
MNIST,LogisticLASSO,LogisticLASSO,23.0,RBO,0.9220900900900899,0.5382879507133682
MNIST,LogisticLASSO,LogisticLASSO,24.0,Jaccard,0.9220900900900899,0.44146797463524434
MNIST,LogisticLASSO,LogisticLASSO,24.0,RBO,0.9220900900900899,0.5412440458600702
MNIST,LogisticLASSO,LogisticLASSO,25.0,Jaccard,0.9220900900900899,0.4407389426276744
MNIST,LogisticLASSO,LogisticLASSO,25.0,RBO,0.9220900900900899,0.5439378275692115
MNIST,LogisticLASSO,LogisticLASSO,26.0,Jaccard,0.9220900900900899,0.4410852497689912
MNIST,LogisticLASSO,LogisticLASSO,26.0,RBO,0.9220900900900899,0.5464525595596591
MNIST,LogisticLASSO,LogisticLASSO,27.0,Jaccard,0.9220900900900899,0.4388067862839917
MNIST,LogisticLASSO,LogisticLASSO,27.0,RBO,0.9220900900900899,0.548705203302164
MNIST,LogisticLASSO,LogisticLASSO,28.0,Jaccard,0.9220900900900899,0.43764434965911586
MNIST,LogisticLASSO,LogisticLASSO,28.0,RBO,0.9220900900900899,0.5507616194801173
MNIST,LogisticLASSO,LogisticLASSO,29.0,Jaccard,0.9220900900900899,0.4326202703989791
MNIST,LogisticLASSO,LogisticLASSO,29.0,RBO,0.9220900900900899,0.5525069856810878
MNIST,LogisticLASSO,LogisticLASSO,30.0,Jaccard,0.9220900900900899,0.43071280160283215
MNIST,LogisticLASSO,LogisticLASSO,30.0,RBO,0.9220900900900899,0.5540750711433703
MNIST,MLP,Epsilon-LRP (MLP),1.0,Jaccard,0.9509429500834776,0.12318840579710146
MNIST,MLP,Epsilon-LRP (MLP),1.0,Kendall,0.9509429500834776,1.0
MNIST,MLP,Epsilon-LRP (MLP),1.0,RBO,0.9509429500834776,0.12318840579710146
MNIST,MLP,Epsilon-LRP (MLP),2.0,Jaccard,0.9509429500834776,0.15858013022473993
MNIST,MLP,Epsilon-LRP (MLP),2.0,Kendall,0.9509429500834776,0.499054820415879
MNIST,MLP,Epsilon-LRP (MLP),2.0,RBO,0.9509429500834776,0.1715500945179584
MNIST,MLP,Epsilon-LRP (MLP),3.0,Jaccard,0.9509429500834776,0.20595463137996362
MNIST,MLP,Epsilon-LRP (MLP),3.0,Kendall,0.9509429500834776,0.49926486032346057
MNIST,MLP,Epsilon-LRP (MLP),3.0,RBO,0.9509429500834776,0.21329552614996639
MNIST,MLP,Epsilon-LRP (MLP),4.0,Jaccard,0.9509429500834776,0.2115761994779033
MNIST,MLP,Epsilon-LRP (MLP),4.0,Kendall,0.9509429500834776,0.4967968914093683
MNIST,MLP,Epsilon-LRP (MLP),4.0,RBO,0.9509429500834776,0.23916981726528194
MNIST,MLP,Epsilon-LRP (MLP),5.0,Jaccard,0.9509429500834776,0.23218786569447952
MNIST,MLP,Epsilon-LRP (MLP),5.0,Kendall,0.9509429500834776,0.49795211090107155
MNIST,MLP,Epsilon-LRP (MLP),5.0,RBO,0.9509429500834776,0.26146817895400154
