data,model,iter,test_acc
MNIST,MLP,81,0.9530476331710817
MNIST,MLP,95,0.95333331823349
MNIST,MLP,56,0.954809546470642
MNIST,MLP,57,0.9534761905670166
MNIST,MLP,94,0.9460952281951904
MNIST,MLP,80,0.9486666917800904
MNIST,MLP,96,0.9520000219345092
MNIST,MLP,82,0.9561904668807985
MNIST,MLP,69,0.9526190757751464
MNIST,MLP,55,0.9434285759925842
MNIST,XGB,23,0.9756190476190476
MNIST,XGB,24,0.9760476190476189
MNIST,XGB,25,0.9741428571428572
MNIST,XGB,26,0.9758571428571428
MNIST,XGB,27,0.9740476190476189
MNIST,XGB,30,0.9757619047619048
MNIST,XGB,31,0.9767142857142858
MNIST,XGB,32,0.9758095238095238
MNIST,XGB,33,0.9762380952380952
MNIST,XGB,34,0.9774761904761904
MNIST,XGB,35,0.9768571428571428
MNIST,XGB,36,0.9770476190476189
MNIST,XGB,37,0.9766666666666668
MNIST,XGB,40,0.9741428571428572
MNIST,XGB,42,0.976
MNIST,XGB,43,0.9765238095238096
MNIST,XGB,54,0.9765714285714284
MNIST,XGB,56,0.9764285714285714
MNIST,XGB,57,0.9753333333333334
MNIST,XGB,68,0.9777619047619048
MNIST,XGB,80,0.9768571428571428
MNIST,XGB,81,0.9776666666666668
MNIST,XGB,83,0.9760476190476189
MNIST,XGB,94,0.9755238095238096
MNIST,XGB,95,0.9767142857142858
MNIST,XGB,97,0.9756666666666668
MNIST,Tree,98,0.7345238095238096
MNIST,Tree,99,0.5872380952380952
MNIST,XGB,69,0.9736666666666668
MNIST,MLP,54,0.9511428475379944
MNIST,XGB,55,0.9740476190476189
MNIST,MLP,68,0.9459999799728394
MNIST,XGB,41,0.9708571428571428
MNIST,MLP,83,0.9496190547943116
MNIST,MLP,97,0.9503809809684752
MNIST,XGB,96,0.9552380952380952
MNIST,XGB,82,0.9766666666666668
MNIST,MLP,93,0.9448571205139159
MNIST,MLP,87,0.9462857246398926
MNIST,LogisticRidge,8,0.9193333333333332
MNIST,XGB,86,0.9732857142857144
MNIST,XGB,92,0.9748095238095238
MNIST,XGB,79,0.9657619047619048
MNIST,XGB,45,0.9727619047619048
MNIST,MLP,78,0.9566666483879088
MNIST,XGB,51,0.963904761904762
MNIST,XGB,9,0.974095238095238
MNIST,XGB,8,0.9623333333333334
MNIST,MLP,79,0.9491428732872008
MNIST,XGB,50,0.9742857142857144
MNIST,XGB,44,0.9724761904761904
MNIST,XGB,78,0.9733809523809523
MNIST,XGB,93,0.976095238095238
MNIST,XGB,87,0.9758571428571428
MNIST,MLP,86,0.9532380700111388
MNIST,LogisticRidge,9,0.9213809523809524
MNIST,MLP,92,0.9475714564323424
MNIST,MLP,84,0.9417142868041992
MNIST,MLP,90,0.9539523720741272
MNIST,XGB,91,0.9715238095238096
MNIST,XGB,85,0.9698095238095238
MNIST,MLP,53,0.9497143030166626
MNIST,XGB,52,0.9756190476190476
MNIST,XGB,46,0.9696190476190476
MNIST,XGB,47,0.9707619047619048
MNIST,XGB,53,0.9701904761904762
MNIST,MLP,50,0.9512380957603456
MNIST,MLP,51,0.9561904668807985
MNIST,MLP,52,0.9526666402816772
MNIST,XGB,84,0.9751904761904762
MNIST,XGB,90,0.9724761904761904
MNIST,MLP,91,0.9559524059295654
MNIST,MLP,85,0.9430000185966492
MNIST,MLP,88,0.9484285712242126
MNIST,XGB,89,0.9736190476190476
MNIST,XGB,76,0.9704761904761904
MNIST,XGB,62,0.9718571428571428
MNIST,LogisticRidge,17,0.924809523809524
MNIST,MLP,63,0.9476666450500488
MNIST,MLP,77,0.9586666822433472
MNIST,LogisticRidge,46,0.9208571428571428
MNIST,LogisticRidge,52,0.9221904761904762
MNIST,LogisticRidge,53,0.9191904761904762
MNIST,LogisticRidge,47,0.926095238095238
MNIST,MLP,76,0.960523784160614
MNIST,MLP,62,0.9449999928474426
MNIST,LogisticRidge,16,0.9219523809523811
MNIST,XGB,63,0.9765238095238096
MNIST,XGB,77,0.9743809523809523
MNIST,XGB,88,0.9713333333333334
MNIST,MLP,89,0.9511428475379944
MNIST,XGB,61,0.973095238095238
MNIST,XGB,75,0.9633333333333334
MNIST,LogisticRidge,28,0.9182380952380952
MNIST,MLP,74,0.954809546470642
MNIST,XGB,49,0.9745714285714284
MNIST,LogisticRidge,14,0.9235714285714286
MNIST,MLP,60,0.9523809552192688
MNIST,LogisticRidge,51,0.9216666666666666
MNIST,LogisticRidge,45,0.9201428571428572
MNIST,LogisticRidge,78,0.9229523809523811
MNIST,LogisticRidge,44,0.9224761904761904
MNIST,LogisticRidge,50,0.9201904761904762
MNIST,XGB,48,0.9696666666666668
MNIST,MLP,61,0.9520476460456848
MNIST,LogisticRidge,15,0.9216666666666666
MNIST,LogisticLASSO,0,0.922047619047619
MNIST,LogisticLASSO,1,0.9216666666666666
MNIST,LogisticLASSO,2,0.9210952380952379
MNIST,LogisticLASSO,3,0.9214285714285714
MNIST,LogisticLASSO,4,0.9238571428571428
MNIST,LogisticLASSO,5,0.9235238095238096
MNIST,LogisticLASSO,6,0.9224761904761904
MNIST,LogisticLASSO,7,0.9206666666666666
MNIST,LogisticLASSO,8,0.9229523809523812
MNIST,LogisticLASSO,9,0.9233333333333332
MNIST,LogisticLASSO,10,0.923
MNIST,LogisticLASSO,11,0.921047619047619
MNIST,LogisticLASSO,12,0.9219523809523812
MNIST,LogisticLASSO,13,0.922
MNIST,LogisticLASSO,14,0.9204761904761904
MNIST,LogisticLASSO,15,0.9225714285714286
MNIST,LogisticLASSO,16,0.922047619047619
MNIST,LogisticLASSO,17,0.921047619047619
MNIST,LogisticLASSO,18,0.9196190476190476
MNIST,LogisticLASSO,19,0.9231904761904762
MNIST,LogisticLASSO,20,0.923047619047619
MNIST,LogisticLASSO,21,0.923809523809524
MNIST,LogisticLASSO,22,0.9187142857142856
MNIST,LogisticLASSO,23,0.9223333333333332
MNIST,LogisticLASSO,24,0.9214285714285714
MNIST,LogisticLASSO,25,0.9188571428571428
MNIST,LogisticLASSO,26,0.9232380952380952
MNIST,LogisticLASSO,27,0.9209999999999999
MNIST,LogisticLASSO,28,0.9225714285714286
MNIST,LogisticLASSO,29,0.9219523809523811
MNIST,LogisticLASSO,30,0.922047619047619
MNIST,LogisticLASSO,31,0.9226666666666666
MNIST,LogisticLASSO,32,0.9233333333333332
MNIST,LogisticLASSO,33,0.922904761904762
MNIST,LogisticLASSO,34,0.9233333333333332
MNIST,LogisticLASSO,35,0.922809523809524
MNIST,LogisticLASSO,36,0.9232857142857144
MNIST,MLP,75,0.9560475945472716
MNIST,XGB,74,0.974095238095238
MNIST,LogisticRidge,29,0.9213809523809524
MNIST,MLP,40,0.9483333230018616
MNIST,MLP,41,0.9530952572822572
MNIST,MLP,42,0.9380000233650208
MNIST,MLP,43,0.9434285759925842
MNIST,MLP,44,0.9563809633255004
MNIST,MLP,45,0.9521428346633912
MNIST,MLP,46,0.9423809647560121
MNIST,MLP,47,0.9526666402816772
MNIST,MLP,48,0.9547619223594666
MNIST,MLP,49,0.9511428475379944
MNIST,XGB,60,0.9741428571428572
MNIST,XGB,58,0.9752857142857144
MNIST,MLP,71,0.955047607421875
MNIST,LogisticRidge,11,0.919809523809524
MNIST,MLP,65,0.952571451663971
MNIST,XGB,64,0.9743333333333334
MNIST,LogisticRidge,39,0.921904761904762
MNIST,MLP,59,0.9598571658134459
MNIST,XGB,70,0.972904761904762
MNIST,LogisticRidge,68,0.9191904761904762
MNIST,LogisticRidge,54,0.9212857142857144
MNIST,LogisticRidge,40,0.9215238095238096
MNIST,LogisticRidge,41,0.9259523809523811
MNIST,LogisticRidge,55,0.9207619047619048
MNIST,LogisticRidge,69,0.9192380952380952
MNIST,MLP,58,0.9543333053588868
MNIST,XGB,71,0.9764761904761904
MNIST,XGB,65,0.9758095238095238
MNIST,LogisticRidge,38,0.921095238095238
MNIST,SVM,0,0.9117619047619048
MNIST,SVM,1,0.912095238095238
MNIST,SVM,2,0.9124761904761904
MNIST,SVM,3,0.912
MNIST,SVM,4,0.9129047619047621
MNIST,SVM,5,0.9119523809523812
MNIST,SVM,8,0.9148571428571428
MNIST,SVM,9,0.9151904761904762
MNIST,SVM,10,0.9127619047619048
MNIST,SVM,11,0.9118571428571428
MNIST,SVM,12,0.912095238095238
MNIST,SVM,13,0.9136190476190476
MNIST,SVM,16,0.9139047619047621
MNIST,SVM,17,0.9139047619047621
MNIST,SVM,18,0.9122380952380952
MNIST,SVM,19,0.9152380952380952
MNIST,SVM,20,0.9143809523809524
MNIST,SVM,21,0.9144761904761904
MNIST,SVM,22,0.9105238095238096
MNIST,SVM,23,0.9131428571428571
MNIST,SVM,24,0.9151904761904762
MNIST,SVM,25,0.9094761904761904
MNIST,SVM,26,0.914
MNIST,SVM,27,0.911
MNIST,SVM,30,0.9116190476190476
MNIST,SVM,31,0.9125238095238096
MNIST,SVM,32,0.9126190476190476
MNIST,SVM,33,0.9126666666666666
MNIST,SVM,34,0.9148571428571428
MNIST,SVM,35,0.9119047619047621
MNIST,SVM,36,0.9141428571428571
MNIST,SVM,37,0.9107619047619048
MNIST,SVM,38,0.9125714285714286
MNIST,SVM,39,0.9133333333333332
MNIST,SVM,40,0.9107142857142856
MNIST,SVM,41,0.914095238095238
MNIST,SVM,42,0.9134285714285716
MNIST,SVM,43,0.9132380952380952
MNIST,SVM,44,0.9099047619047621
MNIST,SVM,45,0.9111428571428573
MNIST,SVM,46,0.913047619047619
MNIST,SVM,47,0.9148571428571428
MNIST,SVM,50,0.9129047619047621
MNIST,SVM,51,0.9149047619047621
MNIST,SVM,52,0.9147619047619048
MNIST,SVM,53,0.911095238095238
MNIST,SVM,54,0.9117619047619048
MNIST,SVM,55,0.9109523809523812
MNIST,SVM,56,0.9157142857142856
MNIST,SVM,57,0.9119047619047621
MNIST,SVM,68,0.9143809523809524
MNIST,SVM,69,0.911095238095238
MNIST,SVM,78,0.9121428571428573
MNIST,SVM,79,0.9151428571428571
MNIST,SVM,80,0.9104761904761904
MNIST,SVM,81,0.914047619047619
MNIST,SVM,82,0.9114285714285716
MNIST,SVM,83,0.9135238095238096
MNIST,SVM,84,0.9125238095238096
MNIST,SVM,85,0.9134761904761904
MNIST,SVM,86,0.9115238095238096
MNIST,SVM,87,0.9186666666666666
MNIST,SVM,90,0.9138571428571428
MNIST,SVM,91,0.9167619047619048
MNIST,SVM,92,0.914
MNIST,SVM,93,0.9133809523809524
MNIST,SVM,94,0.9143809523809524
MNIST,SVM,95,0.9124285714285716
MNIST,SVM,96,0.9139523809523811
MNIST,SVM,97,0.9141428571428571
MNIST,MLP,64,0.9380476474761964
MNIST,LogisticRidge,10,0.9212380952380952
MNIST,XGB,59,0.9757142857142858
MNIST,MLP,70,0.9569523930549622
MNIST,XGB,98,0.9765238095238096
MNIST,MLP,99,0.9543809294700624
MNIST,LogisticRidge,12,0.9245238095238096
MNIST,MLP,66,0.952571451663971
MNIST,MLP,72,0.954809546470642
MNIST,XGB,73,0.9756190476190476
MNIST,XGB,67,0.9764761904761904
MNIST,Tree,97,0.6099047619047621
MNIST,SVM,7,0.9063809523809524
MNIST,SVM,15,0.9006666666666666
MNIST,SVM,29,0.9011428571428572
MNIST,LogisticRidge,43,0.920904761904762
MNIST,LogisticRidge,57,0.9205714285714286
MNIST,LogisticRidge,56,0.9226190476190476
MNIST,LogisticRidge,42,0.9211904761904762
MNIST,SVM,28,0.900904761904762
MNIST,SVM,14,0.9074761904761904
MNIST,SVM,6,0.9045714285714286
MNIST,Tree,38,0.698952380952381
MNIST,Tree,39,0.6606666666666666
MNIST,Tree,40,0.7901428571428571
MNIST,Tree,41,0.7439523809523809
MNIST,Tree,42,0.5835238095238096
MNIST,Tree,43,0.8580952380952381
MNIST,Tree,44,0.8255714285714286
MNIST,Tree,45,0.7456666666666667
MNIST,Tree,46,0.6810952380952381
MNIST,Tree,47,0.7324761904761905
MNIST,Tree,48,0.6295238095238095
MNIST,Tree,49,0.8507619047619047
MNIST,Tree,50,0.6978571428571428
MNIST,Tree,51,0.7124285714285714
MNIST,Tree,52,0.7276666666666667
MNIST,Tree,53,0.7478571428571429
MNIST,Tree,54,0.7645714285714286
MNIST,Tree,55,0.790047619047619
MNIST,Tree,56,0.7068095238095238
MNIST,Tree,57,0.7511428571428571
MNIST,Tree,58,0.8300952380952381
MNIST,Tree,59,0.7569523809523809
MNIST,Tree,60,0.8076190476190476
