data,model,mse
Blog,XGB,0.3518905259529632
Blog,XGB,0.3344315194894302
Blog,XGB,0.3323687428537461
Blog,XGB,0.3653288231051447
Blog,XGB,0.3277968488672655
Blog,XGB,0.3451057272396404
Blog,XGB,0.3418570476165573
Blog,XGB,0.3424995718138877
Blog,XGB,0.3479326896455249
Blog,XGB,0.3380833972057703
Blog,XGB,0.36075173450336223
Blog,XGB,0.4070776237831705
Blog,XGB,0.3401467586678508
Blog,XGB,0.3462957397080456
Blog,XGB,0.343215765558933
Blog,XGB,0.33279064218259946
Blog,XGB,0.36522591439907787
Blog,XGB,0.3339272926109725
Blog,XGB,0.3370921422426872
Blog,XGB,0.3340953940683708
Blog,XGB,0.36121500844082655
Blog,XGB,0.348091808092452
Blog,XGB,0.3306211206706553
Blog,XGB,0.341822541242342
Blog,XGB,0.3298309677386105
Blog,XGB,0.3559726571873236
Blog,XGB,0.3541442503181356
Blog,XGB,0.3314415875520886
Blog,XGB,0.3471133841591013
Blog,XGB,0.3423443573427675
Blog,XGB,0.3372151062090911
Blog,XGB,0.3369634879892674
Blog,XGB,0.33594612330169443
Blog,XGB,0.3383675005177905
Blog,XGB,0.34145296191919594
Blog,XGB,0.3349108092977305
Blog,XGB,0.363200403542801
Blog,XGB,0.3338223036556274
Blog,XGB,0.33339114661912783
Blog,XGB,0.3438913647581095
Blog,XGB,0.3425076984096728
Blog,XGB,0.32690897926771745
Blog,XGB,0.3342140287125821
Blog,XGB,0.3541529019876184
Blog,XGB,0.3367697511498395
Blog,XGB,0.3446482962995939
Blog,XGB,0.3402561479812156
Blog,XGB,0.33976326501252313
Blog,XGB,0.3352464456836361
Blog,XGB,0.3344650361349817
Blog,XGB,0.3425849977458757
Blog,XGB,0.33831478666379106
Blog,XGB,0.3611323679024688
Blog,XGB,0.337829126969292
Blog,XGB,0.3344913342572025
Blog,XGB,0.340445315784187
Blog,XGB,0.3419340293541259
Blog,XGB,0.3294234083403833
Blog,XGB,0.3323281710358579
Blog,XGB,0.3448426585648284
Blog,XGB,0.3483839858136161
Blog,XGB,0.3435542074602512
Blog,XGB,0.3539048980245074
Blog,XGB,0.345083260295576
Blog,XGB,0.3431162582897996
Blog,XGB,0.34990360801303466
Blog,XGB,0.34873816359273546
Blog,XGB,0.34941096164140223
Blog,XGB,0.35121888445668004
Blog,XGB,0.3532042756786556
Blog,XGB,0.3468429057359108
Blog,XGB,0.3412246306649636
Blog,XGB,0.3373726577145162
Blog,XGB,0.34255292905607976
Blog,XGB,0.3250923422933479
Blog,XGB,0.3435647347969508
Blog,XGB,0.35035439475080626
Blog,XGB,0.3338147953929144
Blog,XGB,0.3513312812214995
Blog,XGB,0.3703012156303799
Blog,XGB,0.33999960535850143
Blog,XGB,0.3300098675262752
Blog,XGB,0.34754040254080315
Blog,XGB,0.3468257469819806
Blog,XGB,0.3472156979124981
Blog,XGB,0.3508713429714703
Blog,XGB,0.33549119331665683
Blog,XGB,0.3354095314148496
Blog,XGB,0.3379626241545295
Blog,XGB,0.3701802031367519
Blog,XGB,0.3422219840204881
Blog,XGB,0.34535165308095706
Blog,XGB,0.3339856176376806
Blog,XGB,0.33681577082927805
Blog,XGB,0.3318292528151891
Blog,XGB,0.3491376514446287
Blog,XGB,0.3677306378559949
Blog,XGB,0.3808015396506357
Blog,XGB,0.34050723418688245
Blog,XGB,0.3502123072446805
Blog,MLP,1.031929733163088
Blog,MLP,1.0040380309162251
Blog,MLP,1.6971391635373758
Blog,MLP,1.4017587680530177
Blog,MLP,1.0524149201010324
Blog,MLP,1.0627488432722252
Blog,MLP,3.3193819479846667
Blog,MLP,1.0987088580600926
Blog,MLP,1.2347274193643083
Blog,MLP,1.1060936039974398
Blog,MLP,1.171519086663782
Blog,MLP,1.1343903863474376
Blog,MLP,1.3545579151950875
Blog,MLP,3.5414360595789267
Blog,MLP,1.0045123606292572
Blog,MLP,1.1081776078765142
Blog,MLP,1.233561174491971
Blog,MLP,1.0028206989807162
Blog,MLP,1.4329852473824796
Blog,MLP,1.0014338824882023
Blog,MLP,1.09067789291045
Blog,MLP,1.1815313824452869
Blog,MLP,1.4534572643677883
Blog,MLP,1.069221138612968
Blog,MLP,1.3050460616137227
Blog,MLP,12.936772410870676
Blog,MLP,8.418197775741705
