data,model,method,K,criteria,Accuracy,Consistency
Riboflavin,Tree,Tree,1.0,Jaccard,1.3642561995166098,0.0761254425897825
Riboflavin,Tree,Tree,1.0,Kendall,1.3642561995166098,1.0
Riboflavin,Tree,Tree,1.0,RBO,1.3642561995166098,0.0761254425897825
Riboflavin,Tree,Tree,2.0,Jaccard,1.3642561995166098,0.03060192210419812
Riboflavin,Tree,Tree,2.0,Kendall,1.3642561995166098,0.5343955488113303
Riboflavin,Tree,Tree,2.0,RBO,1.3642561995166098,0.060571573090541224
Riboflavin,Tree,Tree,3.0,Jaccard,1.3642561995166098,0.019929185634800343
Riboflavin,Tree,Tree,3.0,Kendall,1.3642561995166098,0.5146686899342453
Riboflavin,Tree,Tree,3.0,RBO,1.3642561995166098,0.05128421289271077
Riboflavin,Tree,Tree,4.0,Jaccard,1.3642561995166098,0.01557193438832299
Riboflavin,Tree,Tree,4.0,Kendall,1.3642561995166098,0.51230821109425
Riboflavin,Tree,Tree,4.0,RBO,1.3642561995166098,0.04519684707469243
Riboflavin,Tree,Tree,5.0,Jaccard,1.3642561995166098,0.01431742820210209
Riboflavin,Tree,Tree,5.0,Kendall,1.3642561995166098,0.5077389984825498
Riboflavin,Tree,Tree,5.0,RBO,1.3642561995166098,0.041256111954139245
Riboflavin,Tree,Tree,6.0,Jaccard,1.3642561995166098,0.012760380742171434
Riboflavin,Tree,Tree,6.0,Kendall,1.3642561995166098,0.5064575956836953
Riboflavin,Tree,Tree,6.0,RBO,1.3642561995166098,0.038243972348676276
Riboflavin,Tree,Tree,7.0,Jaccard,1.3642561995166098,0.011876969767713434
Riboflavin,Tree,Tree,7.0,Kendall,1.3642561995166098,0.5053592504275365
Riboflavin,Tree,Tree,7.0,RBO,1.3642561995166098,0.0359031928401102
Riboflavin,Tree,Tree,8.0,Jaccard,1.3642561995166098,0.011099067851723503
Riboflavin,Tree,Tree,8.0,Kendall,1.3642561995166098,0.5031161933665734
Riboflavin,Tree,Tree,8.0,RBO,1.3642561995166098,0.03399179854035706
Riboflavin,Tree,Tree,9.0,Jaccard,1.3642561995166098,0.010510577523877625
Riboflavin,Tree,Tree,9.0,Kendall,1.3642561995166098,0.5045172258753445
Riboflavin,Tree,Tree,9.0,RBO,1.3642561995166098,0.03240056059142254
Riboflavin,Tree,Tree,10.0,Jaccard,1.3642561995166098,0.00967855484267924
Riboflavin,Tree,Tree,10.0,Kendall,1.3642561995166098,0.503849828584276
Riboflavin,Tree,Tree,10.0,RBO,1.3642561995166098,0.030983974436174747
Riboflavin,Tree,Tree,11.0,Jaccard,1.3642561995166098,0.009268492424789906
Riboflavin,Tree,Tree,11.0,Kendall,1.3642561995166098,0.5036004966202243
Riboflavin,Tree,Tree,11.0,RBO,1.3642561995166098,0.029762035811146146
Riboflavin,Tree,Tree,12.0,Jaccard,1.3642561995166098,0.008754830751268067
Riboflavin,Tree,Tree,12.0,Kendall,1.3642561995166098,0.5029735902270048
Riboflavin,Tree,Tree,12.0,RBO,1.3642561995166098,0.028669350002177664
Riboflavin,Tree,Tree,13.0,Jaccard,1.3642561995166098,0.008276117378842077
Riboflavin,Tree,Tree,13.0,Kendall,1.3642561995166098,0.5025712358792781
Riboflavin,Tree,Tree,13.0,RBO,1.3642561995166098,0.027679173132657674
Riboflavin,Tree,Tree,14.0,Jaccard,1.3642561995166098,0.007821600831211408
Riboflavin,Tree,Tree,14.0,Kendall,1.3642561995166098,0.5020510597141858
Riboflavin,Tree,Tree,14.0,RBO,1.3642561995166098,0.02677178884094118
Riboflavin,Tree,Tree,15.0,Jaccard,1.3642561995166098,0.007771155369397326
Riboflavin,Tree,Tree,15.0,Kendall,1.3642561995166098,0.5015343112459957
Riboflavin,Tree,Tree,15.0,RBO,1.3642561995166098,0.02598177614363768
Riboflavin,Tree,Tree,16.0,Jaccard,1.3642561995166098,0.007537328142755477
Riboflavin,Tree,Tree,16.0,Kendall,1.3642561995166098,0.5012814027988529
Riboflavin,Tree,Tree,16.0,RBO,1.3642561995166098,0.025264829019334085
Riboflavin,Tree,Tree,17.0,Jaccard,1.3642561995166098,0.0073114923526716785
Riboflavin,Tree,Tree,17.0,Kendall,1.3642561995166098,0.5010488262072653
Riboflavin,Tree,Tree,17.0,RBO,1.3642561995166098,0.024608272322316927
Riboflavin,Tree,Tree,18.0,Jaccard,1.3642561995166098,0.007147049742783005
Riboflavin,Tree,Tree,18.0,Kendall,1.3642561995166098,0.5009058420198305
Riboflavin,Tree,Tree,18.0,RBO,1.3642561995166098,0.024008457821511304
Riboflavin,Tree,Tree,19.0,Jaccard,1.3642561995166098,0.006975336489752336
Riboflavin,Tree,Tree,19.0,Kendall,1.3642561995166098,0.5012719372195457
Riboflavin,Tree,Tree,19.0,RBO,1.3642561995166098,0.02345524027800271
Riboflavin,Tree,Tree,20.0,Jaccard,1.3642561995166098,0.006878635622346182
Riboflavin,Tree,Tree,20.0,Kendall,1.3642561995166098,0.5009184569922527
Riboflavin,Tree,Tree,20.0,RBO,1.3642561995166098,0.022948892022322143
Riboflavin,Tree,Tree,21.0,Jaccard,1.3642561995166098,0.006808409277042342
Riboflavin,Tree,Tree,21.0,Kendall,1.3642561995166098,0.5008117156827322
Riboflavin,Tree,Tree,21.0,RBO,1.3642561995166098,0.02248520457117972
